You are an expert in bioinformatics, sequencing technologies, genomics data analysis, and adjacent fields.

You are given findings from a MultiQC report, generated by a bioinformatics workflow.
MultiQC supports various bioinformatics tools that output QC metrics, and aggregates those metrics
into a single report. It outputs a "General Statistics" table with key metrics for each sample across
all tools. That table is followed by more detailed sections from specific tools, that can include tables,
as well as plots of different types (bar plot, line plot, scatter plot, heatmap, etc.)

You are given data from such a report. Your task is to analyse the data, and
give 1-2 bullet points of a very short and concise overall summary for the results.
Don't waste words: mention only the important QC issues. If there are no issues, just say so.
Just print one or two bullet points, nothing else.
Please do not add any extra headers to the response.

Use markdown to format your reponse for readability. Use directives with pre-defined classes
.text-green, .text-red, and .text-yellow to highlight severity, e.g. :span[39.2%]{.text-red}.
Highlight any mentioned sample names or sample named prefixes or suffixes with a sample directive,
and make sure to use the same color classes for severity, e.g. :sample[A1001.2003]{.text-yellow}
or :sample[A1001]{.text-yellow}. Do not put multiple sample names inside one directive.

You must use only multiples of 4 spaces to indent nested lists.



Two examples of short summaries:

- :span[11/13 samples]{.text-green} show consistent metrics within expected ranges.
- :sample[A1001.2003]{.text-red} and :sample[A1001.2004]{.text-red} exhibit extremely high percentage of :span[duplicates]{.text-red} (:span[65.54%]{.text-red} and :span[83.14%]{.text-red}, respectively).

- All samples show good quality metrics with :span[75.7-77.0%]{.text-green} CpG methylation and :span[76.3-86.0%]{.text-green} alignment rates
- :sample[2wk]{.text-yellow} samples show slightly higher duplication (:span[11-15%]{.text-yellow}) compared to :sample[1wk]{.text-green} samples (:span[6-9%]{.text-green})'



----------------------

Tools used in the report:

1. VEP
Description: <p>Determines the effect of variants on genes, transcripts and protein sequences, as well as regulatory regions.</p>
Links: https://www.ensembl.org/info/docs/tools/vep/index.html

----------------------

----------------------

Tool: VEP
Section: General Statistics
Section help text: Table showing general statistics of VEP annotation run
Title: VEP General Statistics

Plot type: violin plot

Number of samples: 215

Metrics:
Overlapped regulatory features - Overlapped regulatory features
Overlapped transcripts - Overlapped transcripts
Overlapped genes - Overlapped genes
Existing variants - Existing variants
Novel variants - Novel variants
Variants filtered out - Variants filtered out
Variants processed - Variants processed
Lines of input read - Lines of input read

|Sample Name|Overlapped regulatory features|Overlapped transcripts|Overlapped genes|Existing variants|Novel variants|Variants filtered out|Variants processed|Lines of input read|
|JPT_CYP4F2|0|23|1|8|3|0|11|11|
|JPT_DRD2|1|15|3|12|6|0|18|18|
|JPT_GGCX|0|42|2|1|0|0|1|1|
|JPT_OPRM1|1|48|5|34|9|0|43|43|
|JPT_UGT2B7|1|13|2|9|3|0|12|12|
|JPT_VKORC1|1|15|4|2|1|0|3|3|
|KHV_CALU|0|27|3|4|2|0|6|6|
|KHV_CYP2C9|0|22|2|3|2|0|5|5|
|KHV_CYP4F2|0|25|2|16|0|0|16|16|
|KHV_DRD2|2|15|3|21|3|0|24|24|
|KHV_GGCX|0|40|2|1|1|0|2|2|
|KHV_OPRM1|0|47|4|46|2|0|48|48|
|KHV_UGT2B7|3|15|4|47|3|0|50|50|
|KHV_VKORC1|0|15|4|2|0|0|2|2|
|LWK_CALU|4|27|3|20|9|0|29|29|
|LWK_CYP2C9|0|23|3|45|7|0|52|52|
|LWK_CYP4F2|0|26|3|69|10|0|79|79|
|LWK_DRD2|4|15|3|60|27|0|87|87|
|LWK_GGCX|0|50|3|24|3|0|27|27|
|LWK_OPRM1|6|49|5|218|58|0|276|276|
|LWK_UGT2B7|4|15|4|139|8|0|147|147|
|LWK_VKORC1|2|15|4|9|7|0|16|16|
|MSL_CALU|1|27|3|15|2|0|17|17|
|MSL_CYP2C9|0|23|3|18|2|0|20|20|
|MSL_CYP4F2|0|26|3|54|3|0|57|57|
|MSL_DRD2|1|15|3|19|8|0|27|27|
|MSL_GGCX|0|52|3|19|1|0|20|20|
|MSL_OPRM1|5|48|5|64|16|0|80|80|
|MSL_UGT2B7|3|15|4|66|8|0|74|74|
|MSL_VKORC1|1|15|4|3|3|0|6|6|
|PJL_CALU|3|27|3|26|14|0|40|40|
|PJL_CYP2C9|0|23|3|55|15|0|70|70|
|PJL_CYP4F2|0|27|4|16|9|0|25|25|
|PJL_DRD2|3|15|3|75|26|0|101|101|
|PJL_GGCX|0|52|3|18|6|0|24|24|
|PJL_OPRM1|6|49|5|211|71|0|282|282|
|PJL_UGT2B7|4|15|4|164|13|0|177|177|
|PJL_VKORC1|1|15|4|7|2|0|9|9|
|SAS_CALU|3|27|3|36|26|0|62|62|
|SAS_CYP2C9|0|23|3|86|28|0|114|114|
|SAS_CYP4F2|0|27|4|66|20|0|86|86|
|SAS_DRD2|4|15|3|115|71|0|186|186|
|SAS_GGCX|0|52|3|27|10|0|37|37|
|SAS_OPRM1|8|49|5|291|151|0|442|442|
|SAS_UGT2B7|5|15|4|194|30|0|224|224|
|SAS_VKORC1|1|15|4|10|4|0|14|14|
|STU_CALU|0|26|2|1|1|0|2|2|
|STU_CYP2C9|0|23|3|4|1|0|5|5|
|STU_CYP4F2|0|26|3|12|2|0|14|14|
|STU_DRD2|0|15|3|15|2|0|17|17|
|STU_GGCX|0|40|2|5|0|0|5|5|
|STU_OPRM1|1|45|4|26|7|0|33|33|
|STU_UGT2B7|2|13|2|29|2|0|31|31|
|STU_VKORC1|0|15|4|1|0|0|1|1|
|TSI_CALU|3|27|3|25|13|0|38|38|
|TSI_CYP2C9|0|23|3|31|20|0|51|51|
|TSI_CYP2D6|0|50|3|2|0|0|2|2|
|TSI_CYP4F2|0|27|4|36|15|0|51|51|
|TSI_DRD2|5|15|3|84|31|0|115|115|
|TSI_GGCX|1|52|3|18|11|0|29|29|
|TSI_OPRM1|9|49|5|143|88|0|231|231|
|TSI_UGT2B7|4|15|4|118|19|0|137|137|
|TSI_VKORC1|1|15|4|7|3|0|10|10|
|YRI_CALU|3|27|3|31|28|0|59|59|
|YRI_CYP2C9|0|23|3|86|18|0|104|104|
|YRI_CYP4F2|0|27|4|121|9|0|130|130|
|YRI_DRD2|8|15|3|126|47|0|173|173|
|YRI_GGCX|2|52|3|37|10|0|47|47|
|YRI_OPRM1|9|49|5|450|130|0|580|580|
|YRI_UGT2B7|5|15|4|285|29|0|314|314|
|YRI_VKORC1|2|15|4|7|6|0|13|13|

----------------------

Tool: VEP
Section: Variant classes
Section description: Classes of variants found in the data.
Title: VEP: Variant classes

Plot type: bar plot
Values: Number of variants

|Sample|sequence_alteration|deletion|insertion|SNV|
|---|---|---|---|---|
|YRI_VKORC1|nan|nan|nan|13|
|YRI_UGT2B7|2|4|8|300|
|YRI_OPRM1|2|20|14|544|
|YRI_GGCX|1|5|4|37|
|YRI_DRD2|nan|6|2|165|
|YRI_CYP4F2|nan|6|6|118|
|YRI_CYP2C9|nan|2|nan|102|
|YRI_CALU|1|nan|1|57|
|TSI_VKORC1|nan|1|nan|9|
|TSI_UGT2B7|1|3|5|128|
|TSI_OPRM1|1|5|1|224|
|TSI_GGCX|nan|1|3|25|
|TSI_DRD2|nan|3|2|110|
|TSI_CYP4F2|nan|nan|2|49|
|TSI_CYP2D6|nan|1|nan|1|
|TSI_CYP2C9|nan|nan|2|49|
|TSI_CALU|nan|1|1|36|
|STU_VKORC1|nan|nan|nan|1|
|STU_UGT2B7|nan|1|2|28|
|STU_OPRM1|1|2|nan|30|
|STU_GGCX|nan|nan|nan|5|
|STU_DRD2|nan|nan|nan|17|
|STU_CYP4F2|nan|nan|2|12|
|STU_CYP2C9|nan|nan|nan|5|
|STU_CALU|nan|nan|nan|2|
|SAS_VKORC1|nan|1|nan|13|
|SAS_UGT2B7|2|7|5|210|
|SAS_OPRM1|3|15|7|417|
|SAS_GGCX|1|4|3|29|
|SAS_DRD2|nan|4|3|179|
|SAS_CYP4F2|nan|nan|2|84|
|SAS_CYP2C9|nan|1|1|112|
|SAS_CALU|nan|nan|4|58|
|PJL_VKORC1|nan|1|nan|8|
|PJL_UGT2B7|2|7|5|163|
|PJL_OPRM1|2|10|4|266|
|PJL_GGCX|nan|3|3|18|
|PJL_DRD2|nan|3|2|96|
|PJL_CYP4F2|nan|nan|2|23|
|PJL_CYP2C9|nan|1|1|68|
|PJL_CALU|nan|nan|2|38|
|MSL_VKORC1|nan|nan|nan|6|
|MSL_UGT2B7|nan|1|4|69|
|MSL_OPRM1|1|4|2|73|
|MSL_GGCX|nan|4|nan|16|
|MSL_DRD2|nan|1|1|25|
|MSL_CYP4F2|nan|1|3|53|
|MSL_CYP2C9|nan|nan|nan|20|
|MSL_CALU|nan|1|nan|16|
|LWK_VKORC1|nan|nan|nan|16|
|LWK_UGT2B7|nan|2|4|141|
|LWK_OPRM1|nan|12|1|263|
|LWK_GGCX|1|2|1|23|
|LWK_DRD2|nan|nan|1|86|
|LWK_CYP4F2|nan|2|4|73|
|LWK_CYP2C9|nan|1|nan|51|
|LWK_CALU|nan|nan|1|28|
|KHV_VKORC1|nan|nan|nan|2|
|KHV_UGT2B7|nan|2|2|46|
|KHV_OPRM1|nan|4|nan|44|
|KHV_GGCX|nan|nan|nan|2|
|KHV_DRD2|nan|nan|nan|24|
|KHV_CYP4F2|nan|nan|2|14|
|KHV_CYP2C9|nan|nan|nan|5|
|KHV_CALU|nan|1|nan|5|
|JPT_VKORC1|nan|nan|nan|3|
|JPT_UGT2B7|nan|nan|nan|12|
|JPT_OPRM1|nan|1|nan|42|
|JPT_GGCX|nan|nan|nan|1|
|JPT_DRD2|nan|nan|nan|18|
|JPT_CYP4F2|nan|nan|nan|11|
|JPT_CYP2C9|nan|nan|nan|15|
|JPT_CALU|nan|nan|nan|5|
|ITU_VKORC1|nan|nan|nan|4|
|ITU_UGT2B7|1|1|2|38|
|ITU_OPRM1|nan|2|1|60|
|ITU_GGCX|nan|1|nan|10|
|ITU_DRD2|nan|nan|nan|24|
|ITU_CYP4F2|nan|nan|2|20|
|ITU_CYP2C9|nan|nan|nan|17|
|ITU_CALU|nan|nan|1|8|
|IBS_VKORC1|nan|nan|nan|9|
|IBS_UGT2B7|nan|3|7|147|
|IBS_OPRM1|nan|8|3|175|
|IBS_GGCX|nan|1|1|24|
|IBS_DRD2|nan|1|2|91|
|IBS_CYP4F2|nan|nan|3|52|
|IBS_CYP2C9|nan|nan|nan|53|
|IBS_CALU|nan|1|1|26|
|GWD_VKORC1|nan|nan|nan|5|
|GWD_UGT2B7|nan|1|4|83|
|GWD_OPRM1|1|1|nan|65|
|GWD_GGCX|1|2|1|19|
|GWD_DRD2|nan|nan|nan|33|
|GWD_CYP4F2|nan|nan|3|29|
|GWD_CYP2C9|nan|nan|nan|16|
|GWD_CALU|nan|nan|nan|8|
|GIH_VKORC1|nan|nan|nan|6|
|GIH_UGT2B7|1|1|2|48|
|GIH_OPRM1|nan|7|3|139|
|GIH_GGCX|nan|1|2|10|
|GIH_DRD2|nan|2|1|105|
|GIH_CYP4F2|nan|nan|2|50|
|GIH_CYP2C9|nan|nan|nan|45|
|GIH_CALU|nan|nan|1|10|
|GBR_VKORC1|nan|nan|nan|10|
|GBR_UGT2B7|1|1|4|87|
|GBR_OPRM1|2|10|2|295|
|GBR_GGCX|nan|3|1|30|
|GBR_DRD2|nan|5|2|114|
|GBR_CYP4F2|nan|1|2|60|
|GBR_CYP2C9|nan|nan|1|42|
|GBR_CALU|nan|1|1|58|
|FIN_VKORC1|nan|nan|nan|16|
|FIN_UGT2B7|1|2|3|146|
|FIN_OPRM1|1|7|1|339|
|FIN_GGCX|1|3|3|23|
|FIN_DRD2|nan|3|1|142|
|FIN_CYP4F2|nan|2|3|72|
|FIN_CYP2D6|nan|nan|nan|1|
|FIN_CYP2C9|nan|1|nan|69|
|FIN_CALU|nan|nan|2|36|
|EUR_VKORC1|nan|1|nan|31|
|EUR_UGT2B7|1|4|8|334|
|EUR_OPRM1|2|22|6|872|
|EUR_GGCX|1|4|4|74|
|EUR_DRD2|nan|11|5|306|
|EUR_CYP4F2|nan|2|5|139|
|EUR_CYP2D6|nan|1|nan|1|
|EUR_CYP2C9|nan|1|3|164|
|EUR_CALU|1|2|2|123|
|ESN_VKORC1|nan|nan|nan|6|
|ESN_UGT2B7|1|4|7|115|
|ESN_OPRM1|2|6|2|188|
|ESN_GGCX|1|2|1|25|
|ESN_DRD2|nan|nan|nan|61|
|ESN_CYP4F2|nan|nan|4|75|
|ESN_CYP2D6|nan|nan|nan|1|
|ESN_CYP2C9|nan|1|nan|51|
|ESN_CALU|nan|nan|nan|21|
|EAS_VKORC1|nan|nan|nan|15|
|EAS_UGT2B7|1|4|4|221|
|EAS_OPRM1|1|8|5|449|
|EAS_GGCX|1|4|3|35|
|EAS_DRD2|nan|1|nan|193|
|EAS_CYP4F2|nan|3|4|82|
|EAS_CYP2C9|nan|nan|nan|50|
|EAS_CALU|1|2|1|58|
|CHS_VKORC1|nan|nan|nan|7|
|CHS_UGT2B7|1|1|3|79|
|CHS_OPRM1|nan|2|3|143|
|CHS_GGCX|nan|3|1|15|
|CHS_DRD2|nan|nan|nan|78|
|CHS_CYP4F2|nan|3|4|43|
|CHS_CYP2C9|nan|nan|nan|10|
|CHS_CALU|nan|nan|1|13|
|CHB_VKORC1|nan|nan|nan|7|
|CHB_UGT2B7|1|1|3|118|
|CHB_OPRM1|1|2|1|185|
|CHB_GGCX|nan|2|2|19|
|CHB_DRD2|nan|1|nan|95|
|CHB_CYP4F2|nan|nan|2|37|
|CHB_CYP2C9|nan|nan|nan|14|
|CHB_CALU|1|nan|1|25|
|CEU_VKORC1|nan|nan|nan|8|
|CEU_UGT2B7|1|1|6|81|
|CEU_OPRM1|2|5|1|191|
|CEU_GGCX|nan|4|2|21|
|CEU_DRD2|nan|2|1|90|
|CEU_CYP4F2|nan|1|4|57|
|CEU_CYP2C9|nan|nan|nan|43|
|CEU_CALU|nan|nan|1|32|
|CDX_VKORC1|nan|nan|nan|4|
|CDX_UGT2B7|nan|3|5|105|
|CDX_OPRM1|nan|2|4|142|
|CDX_GGCX|1|2|3|17|
|CDX_DRD2|nan|1|nan|74|
|CDX_CYP4F2|nan|nan|nan|14|
|CDX_CYP2C9|nan|nan|nan|10|
|CDX_CALU|nan|1|1|16|
|BEB_VKORC1|nan|nan|nan|2|
|BEB_UGT2B7|1|1|3|41|
|BEB_OPRM1|nan|2|nan|49|
|BEB_GGCX|nan|3|nan|8|
|BEB_DRD2|nan|nan|nan|30|
|BEB_CYP4F2|nan|nan|2|29|
|BEB_CYP2C9|nan|nan|nan|13|
|BEB_CALU|nan|nan|nan|12|
|ASW_VKORC1|nan|1|nan|12|
|ASW_UGT2B7|nan|3|5|139|
|ASW_OPRM1|nan|6|2|216|
|ASW_GGCX|nan|1|2|28|
|ASW_DRD2|nan|nan|nan|96|
|ASW_CYP4F2|nan|1|8|96|
|ASW_CYP2D6|nan|nan|nan|1|
|ASW_CYP2C9|nan|nan|1|34|
|ASW_CALU|nan|nan|nan|40|
|AFR_VKORC1|nan|1|nan|46|
|AFR_UGT2B7|2|8|14|497|
|AFR_OPRM1|5|40|26|1,249|
|AFR_GGCX|2|7|4|107|
|AFR_DRD2|nan|8|4|446|
|AFR_CYP4F2|nan|11|10|239|
|AFR_CYP2D6|nan|nan|nan|2|
|AFR_CYP2C9|nan|4|2|227|
|AFR_CALU|2|2|1|174|
|ACB_VKORC1|nan|nan|nan|12|
|ACB_UGT2B7|1|4|12|267|
|ACB_OPRM1|2|16|14|524|
|ACB_GGCX|1|5|3|41|
|ACB_DRD2|nan|3|3|193|
|ACB_CYP4F2|nan|4|4|117|
|ACB_CYP2D6|nan|nan|nan|1|
|ACB_CYP2C9|nan|1|1|93|
|ACB_CALU|1|1|1|75|

----------------------

Tool: VEP
Section: Consequences
Section description: Predicted consequences of variations.
Title: VEP: Variant Consequences

Plot type: bar plot
Values: Consequences (most severe)

### Consequences (most severe)

|Sample|missense_variant|5_prime_UTR_variant|3_prime_UTR_variant|non_coding_transcript_exon_variant|intron_variant|splice_polypyrimidine_tract_variant|synonymous_variant|downstream_gene_variant|splice_acceptor_variant|splice_region_variant|splice_donor_region_variant|frameshift_variant|stop_gained|splice_donor_variant|upstream_gene_variant|start_lost|splice_donor_5th_base_variant|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|YRI_VKORC1|1|1|2|2|6|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|
|YRI_UGT2B7|1|1|2|9|292|nan|6|nan|nan|2|nan|nan|nan|1|nan|nan|nan|
|YRI_OPRM1|6|2|68|22|476|nan|4|nan|nan|1|nan|nan|1|nan|nan|nan|nan|
|YRI_GGCX|1|1|19|9|13|nan|3|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|
|YRI_DRD2|nan|4|3|6|156|nan|4|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|YRI_CYP4F2|8|6|3|3|101|3|4|1|nan|1|nan|nan|nan|nan|nan|nan|nan|
|YRI_CYP2C9|3|nan|10|2|87|nan|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|YRI_CALU|2|4|8|3|42|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|TSI_VKORC1|nan|3|2|1|3|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|
|TSI_UGT2B7|1|nan|1|7|122|nan|5|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|TSI_OPRM1|3|2|24|7|192|nan|2|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
