Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	SIFT summary	PolyPhen summary	Variants by chromosome	Position in protein	General statistics
AFR_CYP2C9	{'insertion': 2, 'deletion': 4, 'SNV': 227}	{'frameshift_variant': 1, 'missense_variant': 7, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 2, '3_prime_UTR_variant': 18, 'non_coding_transcript_exon_variant': 7, 'intron_variant': 193, 'downstream_gene_variant': 2}	{'frameshift_variant': 16, 'missense_variant': 103, 'splice_region_variant': 36, 'splice_polypyrimidine_tract_variant': 52, 'synonymous_variant': 33, '3_prime_UTR_variant': 136, 'non_coding_transcript_exon_variant': 16, 'intron_variant': 3958, 'NMD_transcript_variant': 229, 'non_coding_transcript_variant': 71, 'upstream_gene_variant': 74, 'downstream_gene_variant': 155}	{'frameshift_variant': 16, 'missense_variant': 103, 'synonymous_variant': 33}	{'tolerated_low_confidence': 5, 'deleterious_low_confidence': 8}	{'possibly_damaging': 1, 'benign': 6, 'probably_damaging': 6}	{'chr10': 233}	{'00-10%': 0, '10-20%': 0, '20-30%': 29, '30-40%': 19, '40-50%': 7, '50-60%': 25, '60-70%': 21, '70-80%': 30, '80-90%': 16, '90-100%': 5}	{'Lines of input read': 233, 'Variants processed': 233, 'Variants filtered out': 0, 'Novel variants': 73, 'Existing variants': 160, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
AFR_CYP2D6	{'SNV': 2}	{'missense_variant': 2}	{'missense_variant': 62, 'synonymous_variant': 4, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 2, 'NMD_transcript_variant': 2, 'non_coding_transcript_variant': 2, 'upstream_gene_variant': 6, 'downstream_gene_variant': 11}	{'missense_variant': 62, 'synonymous_variant': 4}	{'deleterious': 2, 'tolerated': 4}	{'benign': 6}	{'chr22': 2}	{'00-10%': 32, '10-20%': 1, '20-30%': 32, '30-40%': 0, '40-50%': 1, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 2, 'Variants processed': 2, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 2, 'Overlapped genes': 3, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 0}
AFR_CYP4F2	{'insertion': 10, 'deletion': 11, 'SNV': 239}	{'splice_acceptor_variant': 1, 'missense_variant': 12, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 4, '5_prime_UTR_variant': 8, '3_prime_UTR_variant': 14, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 212, 'downstream_gene_variant': 1}	{'splice_acceptor_variant': 1, 'missense_variant': 183, 'splice_region_variant': 40, 'splice_polypyrimidine_tract_variant': 60, 'synonymous_variant': 85, '5_prime_UTR_variant': 23, '3_prime_UTR_variant': 191, 'non_coding_transcript_exon_variant': 43, 'intron_variant': 4451, 'NMD_transcript_variant': 218, 'non_coding_transcript_variant': 374, 'upstream_gene_variant': 579, 'downstream_gene_variant': 266}	{'missense_variant': 183, 'synonymous_variant': 85}	{'tolerated': 3, 'tolerated_low_confidence': 20, 'deleterious_low_confidence': 36}	{'unknown': 1, 'possibly_damaging': 8, 'probably_damaging': 18, 'benign': 32}	{'chr19': 260}	{'00-10%': 20, '10-20%': 47, '20-30%': 32, '30-40%': 29, '40-50%': 11, '50-60%': 6, '60-70%': 16, '70-80%': 6, '80-90%': 37, '90-100%': 64}	{'Lines of input read': 260, 'Variants processed': 260, 'Variants filtered out': 0, 'Novel variants': 59, 'Existing variants': 201, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
AFR_DRD2	{'insertion': 4, 'deletion': 8, 'SNV': 446}	{'missense_variant': 1, 'splice_region_variant': 1, 'splice_donor_region_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 6, '5_prime_UTR_variant': 13, '3_prime_UTR_variant': 16, 'non_coding_transcript_exon_variant': 10, 'intron_variant': 409}	{'missense_variant': 9, 'splice_region_variant': 3, 'splice_donor_region_variant': 1, 'splice_polypyrimidine_tract_variant': 8, 'synonymous_variant': 50, '5_prime_UTR_variant': 19, '3_prime_UTR_variant': 112, 'non_coding_transcript_exon_variant': 17, 'intron_variant': 3284, 'non_coding_transcript_variant': 521, 'upstream_gene_variant': 315, 'downstream_gene_variant': 361, 'regulatory_region_variant': 29}	{'missense_variant': 9, 'synonymous_variant': 50}	{'deleterious_low_confidence': 1, 'deleterious': 8}	{'possibly_damaging': 2, 'probably_damaging': 7}	{'chr11': 458}	{'00-10%': 15, '10-20%': 2, '20-30%': 8, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 17, '70-80%': 16, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 458, 'Variants processed': 458, 'Variants filtered out': 0, 'Novel variants': 206, 'Existing variants': 252, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 9}
AFR_GGCX	{'sequence_alteration': 2, 'insertion': 4, 'deletion': 7, 'SNV': 107}	{'splice_acceptor_variant': 1, 'frameshift_variant': 1, 'missense_variant': 2, 'splice_polypyrimidine_tract_variant': 2, 'synonymous_variant': 5, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 37, 'non_coding_transcript_exon_variant': 33, 'intron_variant': 36}	{'splice_acceptor_variant': 31, 'frameshift_variant': 1, 'missense_variant': 41, 'splice_polypyrimidine_tract_variant': 55, 'synonymous_variant': 109, '5_prime_UTR_variant': 31, '3_prime_UTR_variant': 248, 'non_coding_transcript_exon_variant': 183, 'intron_variant': 2677, 'NMD_transcript_variant': 641, 'non_coding_transcript_variant': 518, 'upstream_gene_variant': 261, 'downstream_gene_variant': 1489, 'regulatory_region_variant': 6}	{'frameshift_variant': 1, 'missense_variant': 41, 'synonymous_variant': 109}	{'deleterious': 6, 'tolerated': 9}	{'probably_damaging': 6, 'benign': 9}	{'chr2': 120}	{'00-10%': 10, '10-20%': 14, '20-30%': 14, '30-40%': 19, '40-50%': 18, '50-60%': 23, '60-70%': 9, '70-80%': 32, '80-90%': 5, '90-100%': 7}	{'Lines of input read': 120, 'Variants processed': 120, 'Variants filtered out': 0, 'Novel variants': 43, 'Existing variants': 77, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 3}
AFR_OPRM1	{'sequence_alteration': 5, 'insertion': 26, 'deletion': 40, 'SNV': 1249}	{'splice_acceptor_variant': 1, 'stop_gained': 3, 'missense_variant': 20, 'splice_region_variant': 2, 'splice_donor_region_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 7, '5_prime_UTR_variant': 17, '3_prime_UTR_variant': 135, 'non_coding_transcript_exon_variant': 46, 'intron_variant': 1087}	{'splice_acceptor_variant': 2, 'stop_gained': 5, 'missense_variant': 189, 'splice_region_variant': 14, 'splice_donor_region_variant': 1, 'splice_polypyrimidine_tract_variant': 13, 'synonymous_variant': 51, '5_prime_UTR_variant': 85, '3_prime_UTR_variant': 317, 'non_coding_transcript_exon_variant': 109, 'intron_variant': 15423, 'NMD_transcript_variant': 1929, 'non_coding_transcript_variant': 1150, 'upstream_gene_variant': 726, 'downstream_gene_variant': 1426, 'regulatory_region_variant': 47}	{'stop_gained': 5, 'missense_variant': 189, 'synonymous_variant': 51}	{'deleterious': 15, 'tolerated': 22, 'tolerated_low_confidence': 61, 'deleterious_low_confidence': 90}	{'unknown': 4, 'possibly_damaging': 25, 'probably_damaging': 63, 'benign': 96}	{'chr6': 1320}	{'00-10%': 56, '10-20%': 27, '20-30%': 11, '30-40%': 30, '40-50%': 29, '50-60%': 23, '60-70%': 31, '70-80%': 16, '80-90%': 4, '90-100%': 18}	{'Lines of input read': 1320, 'Variants processed': 1320, 'Variants filtered out': 0, 'Novel variants': 496, 'Existing variants': 824, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 14}
AFR_UGT2B7	{'sequence_alteration': 2, 'deletion': 8, 'insertion': 14, 'SNV': 497}	{'splice_donor_variant': 1, 'stop_gained': 1, 'missense_variant': 5, 'splice_region_variant': 3, 'splice_polypyrimidine_tract_variant': 2, 'synonymous_variant': 9, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 16, 'intron_variant': 474}	{'splice_donor_variant': 2, 'stop_gained': 9, 'missense_variant': 37, 'splice_region_variant': 9, 'splice_polypyrimidine_tract_variant': 12, 'synonymous_variant': 69, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 50, 'non_coding_transcript_exon_variant': 32, 'intron_variant': 2317, 'non_coding_transcript_variant': 770, 'upstream_gene_variant': 427, 'downstream_gene_variant': 225, 'regulatory_region_variant': 28}	{'stop_gained': 9, 'missense_variant': 37, 'synonymous_variant': 69}	{'deleterious_low_confidence': 5, 'tolerated_low_confidence': 10}	{'possibly_damaging': 2, 'benign': 13}	{'chr4': 521}	{'00-10%': 1, '10-20%': 15, '20-30%': 12, '30-40%': 7, '40-50%': 20, '50-60%': 11, '60-70%': 19, '70-80%': 17, '80-90%': 4, '90-100%': 9}	{'Lines of input read': 521, 'Variants processed': 521, 'Variants filtered out': 0, 'Novel variants': 113, 'Existing variants': 408, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 7}
AFR_VKORC1	{'deletion': 1, 'SNV': 46}	{'splice_donor_variant': 1, 'missense_variant': 4, 'synonymous_variant': 2, '5_prime_UTR_variant': 11, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 9, 'intron_variant': 14, 'upstream_gene_variant': 1}	{'splice_donor_variant': 1, 'missense_variant': 9, 'synonymous_variant': 11, '5_prime_UTR_variant': 27, '3_prime_UTR_variant': 37, 'non_coding_transcript_exon_variant': 26, 'intron_variant': 270, 'non_coding_transcript_variant': 25, 'upstream_gene_variant': 227, 'downstream_gene_variant': 33, 'regulatory_region_variant': 16}	{'missense_variant': 9, 'synonymous_variant': 11}	{'tolerated': 1, 'tolerated_low_confidence': 2, 'deleterious_low_confidence': 6}	{'probably_damaging': 1, 'possibly_damaging': 2, 'unknown': 6}	{'chr16': 47}	{'00-10%': 0, '10-20%': 2, '20-30%': 4, '30-40%': 2, '40-50%': 2, '50-60%': 0, '60-70%': 3, '70-80%': 2, '80-90%': 0, '90-100%': 5}	{'Lines of input read': 47, 'Variants processed': 47, 'Variants filtered out': 0, 'Novel variants': 24, 'Existing variants': 23, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 2}
ASW_CALU	{'SNV': 40}	{'missense_variant': 3, 'synonymous_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 7, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 27}	{'missense_variant': 37, 'synonymous_variant': 24, '5_prime_UTR_variant': 17, '3_prime_UTR_variant': 91, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 744, 'upstream_gene_variant': 13, 'downstream_gene_variant': 91, 'regulatory_region_variant': 1}	{'missense_variant': 37, 'synonymous_variant': 24}	{'tolerated_low_confidence': 1, 'deleterious_low_confidence': 2, 'tolerated': 28}	{'possibly_damaging': 1, 'benign': 30}	{'chr7': 40}	{'00-10%': 26, '10-20%': 22, '20-30%': 12, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 40, 'Variants processed': 40, 'Variants filtered out': 0, 'Novel variants': 14, 'Existing variants': 26, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 1}
ASW_CYP2C9	{'insertion': 1, 'SNV': 34}	{'missense_variant': 2, 'synonymous_variant': 1, '3_prime_UTR_variant': 6, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 24, 'downstream_gene_variant': 1}	{'missense_variant': 19, 'splice_polypyrimidine_tract_variant': 17, 'synonymous_variant': 17, '3_prime_UTR_variant': 41, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 564, 'NMD_transcript_variant': 34, 'non_coding_transcript_variant': 18, 'upstream_gene_variant': 17, 'downstream_gene_variant': 31}	{'missense_variant': 19, 'synonymous_variant': 17}	{'tolerated_low_confidence': 3}	{'benign': 3}	{'chr10': 35}	{'00-10%': 0, '10-20%': 0, '20-30%': 4, '30-40%': 12, '40-50%': 1, '50-60%': 1, '60-70%': 0, '70-80%': 0, '80-90%': 14, '90-100%': 4}	{'Lines of input read': 35, 'Variants processed': 35, 'Variants filtered out': 0, 'Novel variants': 8, 'Existing variants': 27, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
ASW_CYP2D6	{'SNV': 1}	{'missense_variant': 1}	{'missense_variant': 33, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 1, 'NMD_transcript_variant': 1, 'non_coding_transcript_variant': 1, 'upstream_gene_variant': 3}	{'missense_variant': 33}	{'tolerated': 1, 'deleterious': 2}	{'benign': 3}	{'chr22': 1}	{'00-10%': 32, '10-20%': 1, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 1, 'Variants processed': 1, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 1, 'Overlapped genes': 3, 'Overlapped transcripts': 38, 'Overlapped regulatory features': 0}
ASW_CYP4F2	{'deletion': 1, 'insertion': 8, 'SNV': 96}	{'missense_variant': 7, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 4, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 76}	{'missense_variant': 103, 'splice_region_variant': 19, 'splice_polypyrimidine_tract_variant': 40, 'synonymous_variant': 82, '5_prime_UTR_variant': 7, '3_prime_UTR_variant': 77, 'non_coding_transcript_exon_variant': 25, 'intron_variant': 1741, 'NMD_transcript_variant': 84, 'non_coding_transcript_variant': 147, 'upstream_gene_variant': 191, 'downstream_gene_variant': 90}	{'missense_variant': 103, 'synonymous_variant': 82}	{'tolerated': 2, 'tolerated_low_confidence': 10, 'deleterious_low_confidence': 20}	{'possibly_damaging': 4, 'probably_damaging': 9, 'benign': 19}	{'chr19': 105}	{'00-10%': 20, '10-20%': 44, '20-30%': 15, '30-40%': 16, '40-50%': 2, '50-60%': 3, '60-70%': 15, '70-80%': 4, '80-90%': 20, '90-100%': 46}	{'Lines of input read': 105, 'Variants processed': 105, 'Variants filtered out': 0, 'Novel variants': 14, 'Existing variants': 91, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
ASW_DRD2	{'SNV': 96}	{'splice_region_variant': 1, 'synonymous_variant': 5, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 78}	{'splice_region_variant': 3, 'synonymous_variant': 42, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 36, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 691, 'non_coding_transcript_variant': 108, 'upstream_gene_variant': 82, 'downstream_gene_variant': 120, 'regulatory_region_variant': 8}	{'synonymous_variant': 42}			{'chr11': 96}	{'00-10%': 15, '10-20%': 2, '20-30%': 1, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 9, '70-80%': 15, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 96, 'Variants processed': 96, 'Variants filtered out': 0, 'Novel variants': 18, 'Existing variants': 78, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 5}
