Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
HG00407	('chr1', 1.3414547649659292)	('chr10', 1.164843825075139)	('chr11', 1.2713364410464754)	('chr12', 1.3322052043095547)	('chr13', 0.6530787139798251)	('chr14', 0.9003887966948764)	('chr15', 0.9976038034304767)	('chr16', 1.0953815822609354)	('chr17', 1.7951431992020612)	('chr18', 0.6866514839198711)	('chr19', 2.13139034193758)	('chr2', 0.9219978035635986)	('chr20', 1.2079472221885441)	('chr21', 0.7647085763373228)	('chr22', 1.0653949257733593)	('chr3', 0.9268954928883835)	('chr4', 0.714988623620776)	('chr5', 0.8081891581099823)	('chr6', 0.9624928298855603)	('chr7', 1.0086061017741825)	('chr8', 0.7723497164504578)	('chr9', 1.03760194416389)	('chr16_KI270853v1_alt', 1.0581558819244505)	('chr17_KI270857v1_alt', 1.2603538174298436)	('chr15_KI270905v1_alt', 0.5953101148001692)	('chrX', 0.9966536839003746)	('chrY', 0.035293642681526925)
HG00699	('chr1', 1.3377132772943274)	('chr10', 1.1606750975997742)	('chr11', 1.2686337663733245)	('chr12', 1.3287615407208342)	('chr13', 0.6561479872995346)	('chr14', 0.9059683603310456)	('chr15', 1.0107424614849196)	('chr16', 1.1039561255909938)	('chr17', 1.7876868847314025)	('chr18', 0.6934104548005833)	('chr19', 2.105235816841105)	('chr2', 0.9284498272598029)	('chr20', 1.2095303267205775)	('chr21', 0.7694472917969682)	('chr22', 1.057224329752143)	('chr3', 0.932630162944739)	('chr4', 0.7195058183874476)	('chr5', 0.8160990721899005)	('chr6', 0.9628202251881609)	('chr7', 0.9949040680774581)	('chr8', 0.7760938622409362)	('chr9', 1.028340280446915)	('chr16_KI270853v1_alt', 1.0500496453278414)	('chr17_KI270857v1_alt', 1.3298203693673154)	('chr15_KI270905v1_alt', 0.6074219084189721)	('chrX', 0.977768622856884)	('chrY', 0.03795206928071171)
HG00956	('chr1', 1.3279728816450642)	('chr10', 1.1515407083390174)	('chr11', 1.2873067437237897)	('chr12', 1.2962979443046452)	('chr13', 0.639829729887028)	('chr14', 0.9002946561146126)	('chr15', 0.9988218706454192)	('chr16', 1.1618855858092196)	('chr17', 1.828771313183298)	('chr18', 0.6871600857599279)	('chr19', 2.246828819168899)	('chr2', 0.917213607722501)	('chr20', 1.2576649652909457)	('chr21', 0.7772242031326219)	('chr22', 1.1548343591708101)	('chr3', 0.917374427408717)	('chr4', 0.6940872686859949)	('chr5', 0.8077119914486149)	('chr6', 0.9398545707292183)	('chr7', 1.000996130180968)	('chr8', 0.7764544718398608)	('chr9', 1.027305057168793)	('chr16_KI270853v1_alt', 1.0362706241772768)	('chr17_KI270857v1_alt', 1.2034330335964505)	('chr15_KI270905v1_alt', 0.6216158385737662)	('chrX', 0.9757710874504306)	('chrY', 0.03414072947246035)
HG01501	('chr1', 1.3873127634815376)	('chr10', 1.0226206632704948)	('chr11', 1.1551549333921725)	('chr12', 1.1148243042927644)	('chr13', 0.5453886429674859)	('chr14', 0.8830700192565009)	('chr15', 1.026413076950196)	('chr16', 1.2631429553675093)	('chr17', 1.8507280110808126)	('chr18', 0.6213808495677584)	('chr19', 2.0774738717917747)	('chr2', 1.1533956574922848)	('chr20', 1.0037707532016213)	('chr21', 0.706968719154301)	('chr22', 1.1842394695486058)	('chr3', 0.9388723370143027)	('chr4', 0.7221568604734724)	('chr5', 0.854160548509398)	('chr6', 0.7903877384965654)	('chr7', 0.9849187326084208)	('chr8', 0.6635376598350132)	('chr9', 0.9232634485704597)	('chr16_KI270853v1_alt', 2.593732887377808)	('chr17_KI270857v1_alt', 1.0272531413711097)	('chr15_KI270905v1_alt', 0.7619299329233408)	('chrX', 1.2779813618320341)	('chrY', 0.05788305326128542)
HG01503	('chr1', 1.4248375919000746)	('chr10', 1.051461746202969)	('chr11', 1.1912963297662038)	('chr12', 1.1469989259251596)	('chr13', 0.553242601095084)	('chr14', 0.8703772804508711)	('chr15', 1.0568166034186226)	('chr16', 1.2753825635089704)	('chr17', 1.8987280411091099)	('chr18', 0.6329525574203486)	('chr19', 2.1446173868194442)	('chr2', 1.183503445827905)	('chr20', 1.0232270686321019)	('chr21', 0.7049744759658167)	('chr22', 1.1792636087073338)	('chr3', 0.9596867628075146)	('chr4', 0.7374732554226525)	('chr5', 0.8750361636900706)	('chr6', 0.810591457139184)	('chr7', 1.0437275620836173)	('chr8', 0.686390595638561)	('chr9', 0.9657977483257433)	('chr16_KI270853v1_alt', 2.3356211132690223)	('chr17_KI270857v1_alt', 1.244559336148687)	('chr15_KI270905v1_alt', 0.8007201708941567)	('chrX', 0.7037926955000924)	('chrY', 0.22520831941878908)
HG01504	('chr1', 1.3891527803147392)	('chr10', 1.028663367328332)	('chr11', 1.1534822712325277)	('chr12', 1.110709656918083)	('chr13', 0.5494501450337048)	('chr14', 0.8503736013403653)	('chr15', 1.0154779285435716)	('chr16', 1.2334681880067744)	('chr17', 1.8186461282192603)	('chr18', 0.6277531228635238)	('chr19', 2.060596298467625)	('chr2', 1.1550024310724967)	('chr20', 1.0110094155057041)	('chr21', 0.6961624921765435)	('chr22', 1.1802577846399724)	('chr3', 0.9407224797954339)	('chr4', 0.730630686328067)	('chr5', 0.8584507638355191)	('chr6', 0.7891355424014036)	('chr7', 1.0028616764765543)	('chr8', 0.6602063107821331)	('chr9', 0.940957806839606)	('chr16_KI270853v1_alt', 2.2053652066856033)	('chr17_KI270857v1_alt', 1.0070076328794717)	('chr15_KI270905v1_alt', 0.7971974645035278)	('chrX', 1.304033905036495)	('chrY', 0.061040467554968246)
HG01522	('chr1', 1.4109816194979012)	('chr10', 1.047429037882732)	('chr11', 1.1802347759198621)	('chr12', 1.2242536395189503)	('chr13', 0.6094744064086198)	('chr14', 0.9364741941477103)	('chr15', 1.0828647754094582)	('chr16', 1.0878921374636343)	('chr17', 1.6821142707238048)	('chr18', 0.6743734764726944)	('chr19', 2.1138241710723604)	('chr2', 1.0674187647990827)	('chr20', 0.9548296374088774)	('chr21', 0.7324556510380683)	('chr22', 0.8763636501447142)	('chr3', 0.9427763901067169)	('chr4', 0.789689911190244)	('chr5', 0.853394038724365)	('chr6', 0.9341070469611391)	('chr7', 0.9844981328272842)	('chr8', 0.7387994872886685)	('chr9', 0.9499643152135263)	('chr16_KI270853v1_alt', 1.3595894044941843)	('chr17_KI270857v1_alt', 1.3874327475137473)	('chr15_KI270905v1_alt', 0.7344825290868071)	('chrX', 1.0465551333782528)	('chrY', 0.027918891233637215)
HG01596	('chr1', 1.3923956804497764)	('chr10', 1.18635964897012)	('chr11', 1.2776156464047972)	('chr12', 1.3640318700397278)	('chr13', 0.6754043537919711)	('chr14', 0.9214659710935019)	('chr15', 1.0248275915216007)	('chr16', 1.108697143697176)	('chr17', 1.8252695732563735)	('chr18', 0.7103430576752419)	('chr19', 2.1904010967662155)	('chr2', 0.9410308468733851)	('chr20', 1.28321601273817)	('chr21', 0.7482420926618567)	('chr22', 1.1281052205263322)	('chr3', 0.9439436946576265)	('chr4', 0.7287645867806773)	('chr5', 0.8319815789469668)	('chr6', 0.995087228454991)	('chr7', 0.9981205777562342)	('chr8', 0.7673120986271997)	('chr9', 1.0317626941111546)	('chr16_KI270853v1_alt', 1.217463641027598)	('chr17_KI270857v1_alt', 1.2895170931767979)	('chr15_KI270905v1_alt', 0.5410066557638766)	('chrX', 0.5219809111113224)	('chrY', 0.2295383696607779)
HG01770	('chr1', 1.3901499894474836)	('chr10', 1.0335279799324741)	('chr11', 1.1640295373248168)	('chr12', 1.1107805646414683)	('chr13', 0.5351315752876512)	('chr14', 0.8490460790345609)	('chr15', 1.0425875506736135)	('chr16', 1.2550061361478941)	('chr17', 1.8553595986868823)	('chr18', 0.6117083638842308)	('chr19', 2.1139477392373247)	('chr2', 1.1453507386405868)	('chr20', 1.020076210390691)	('chr21', 0.694203271300459)	('chr22', 1.2023437433674649)	('chr3', 0.9335203360330334)	('chr4', 0.7061442606844323)	('chr5', 0.8472789323786787)	('chr6', 0.7823988124444318)	('chr7', 0.9921793637168602)	('chr8', 0.6714380618976434)	('chr9', 0.9293364287498971)	('chr16_KI270853v1_alt', 2.3319791917103254)	('chr17_KI270857v1_alt', 1.0771066361543926)	('chr15_KI270905v1_alt', 0.8185496698840593)	('chrX', 1.2973684000757286)	('chrY', 0.05964008678266143)
HG01880	('chr1', 1.3498894000160637)	('chr10', 1.1583815361135763)	('chr11', 1.2854502962280732)	('chr12', 1.3321864356216426)	('chr13', 0.6340829592662296)	('chr14', 0.9043187504702389)	('chr15', 1.011001673585242)	('chr16', 1.1275072487194666)	('chr17', 1.859462718672194)	('chr18', 0.6650882505809096)	('chr19', 2.248924812674473)	('chr2', 0.911535866607735)	('chr20', 1.227807894559504)	('chr21', 0.7579975401607303)	('chr22', 1.1187299998640599)	('chr3', 0.9202970640366358)	('chr4', 0.6838875004830505)	('chr5', 0.7956196278699712)	('chr6', 0.9456282652202598)	('chr7', 0.996747108875201)	('chr8', 0.7590904653158909)	('chr9', 1.0235425362298776)	('chr16_KI270853v1_alt', 1.1706167166466654)	('chr17_KI270857v1_alt', 1.346140010071049)	('chr15_KI270905v1_alt', 0.606543443338242)	('chrX', 0.9808554636215604)	('chrY', 0.03403624806889208)
HG01882	('chr1', 1.35100838794343)	('chr10', 1.204844584981723)	('chr11', 1.3015206554272993)	('chr12', 1.3450371538034065)	('chr13', 0.6784492455883252)	('chr14', 0.9277449200748543)	('chr15', 1.021686569324855)	('chr16', 1.11139881450575)	('chr17', 1.7524024933504747)	('chr18', 0.7219265110061084)	('chr19', 1.986564599176822)	('chr2', 0.9530543316546713)	('chr20', 1.2359748763862641)	('chr21', 0.7842861004605193)	('chr22', 1.069076600232247)	('chr3', 0.9515769111343299)	('chr4', 0.7428766703751698)	('chr5', 0.8385011419353597)	('chr6', 0.9855721796795085)	('chr7', 1.0392656690978639)	('chr8', 0.8105712477783885)	('chr9', 1.058279111522213)	('chr16_KI270853v1_alt', 1.0546628053294864)	('chr17_KI270857v1_alt', 1.4742962393659167)	('chr15_KI270905v1_alt', 0.6499721518470412)	('chrX', 0.5371701721524968)	('chrY', 0.2510558342273456)
HG01886	('chr1', 1.3811264554481764)	('chr10', 1.049796134554669)	('chr11', 1.1952264037362934)	('chr12', 1.1911809869890926)	('chr13', 0.5868075522054575)	('chr14', 0.9094263730169482)	('chr15', 1.0694979022302753)	('chr16', 1.1805198595382542)	('chr17', 1.709396713839005)	('chr18', 0.6862803102774792)	('chr19', 2.094141122300965)	('chr2', 1.029055665988794)	('chr20', 1.0184842283227105)	('chr21', 0.7621806391397896)	('chr22', 0.9625328484876039)	('chr3', 0.9304260732167464)	('chr4', 0.7754380134038831)	('chr5', 0.8417118226212553)	('chr6', 0.8928082732753907)	('chr7', 0.984215151398675)	('chr8', 0.759471190355268)	('chr9', 0.9661982781927356)	('chr16_KI270853v1_alt', 1.4784471676779907)	('chr17_KI270857v1_alt', 1.8634554018206781)	('chr15_KI270905v1_alt', 0.7957406919997294)	('chrX', 1.0941224984879578)	('chrY', 0.0400409606573517)
HG01890	('chr1', 1.40969133750159)	('chr10', 1.0652200730821306)	('chr11', 1.1957732196161426)	('chr12', 1.140661579582266)	('chr13', 0.5523935010237351)	('chr14', 0.9055329110491804)	('chr15', 1.0736657582820754)	('chr16', 1.2888611557168683)	('chr17', 1.9203553663190582)	('chr18', 0.6283795430065892)	('chr19', 2.137663306487451)	('chr2', 1.1694021890421402)	('chr20', 1.0397966745495895)	('chr21', 0.71405746902098)	('chr22', 1.2603806697250757)	('chr3', 0.9641127445264037)	('chr4', 0.7320292506719653)	('chr5', 0.8745380442877397)	('chr6', 0.8047499927962958)	('chr7', 1.0229218407490535)	('chr8', 0.6986755589270346)	('chr9', 0.9511555495231572)	('chr16_KI270853v1_alt', 2.1756003722139523)	('chr17_KI270857v1_alt', 1.1768336870665788)	('chr15_KI270905v1_alt', 0.7636804909871338)	('chrX', 0.6958884734764396)	('chrY', 0.22965476301221632)
HG01986	('chr1', 1.3520879377340589)	('chr10', 1.152528964709058)	('chr11', 1.319807918570105)	('chr12', 1.3198615581213933)	('chr13', 0.6222060558972774)	('chr14', 0.9224052735816238)	('chr15', 1.0170139206270141)	('chr16', 1.2579814290586189)	('chr17', 1.9762083583111107)	('chr18', 0.6796309613161114)	('chr19', 2.5216124003577574)	('chr2', 0.9123949089128461)	('chr20', 1.3141397566303596)	('chr21', 0.788415314418311)	('chr22', 1.266540667005184)	('chr3', 0.923066644193605)	('chr4', 0.6688758360796917)	('chr5', 0.7985773259585128)	('chr6', 0.934917646772195)	('chr7', 1.0218691070691288)	('chr8', 0.7756056580273953)	('chr9', 1.0439674103012924)	('chr16_KI270853v1_alt', 1.1945637327860943)	('chr17_KI270857v1_alt', 1.5511046994899655)	('chr15_KI270905v1_alt', 0.6232013180810528)	('chrX', 0.49752758802103497)	('chrY', 0.22683272556763018)
HG02013	('chr1', 1.3482544794483018)	('chr10', 1.1802984632180828)	('chr11', 1.2977587637263672)	('chr12', 1.3302310578687786)	('chr13', 0.6664307405959117)	('chr14', 0.9248473722810437)	('chr15', 1.0166740564109111)	('chr16', 1.1568938019507995)	('chr17', 1.838732175291904)	('chr18', 0.7166584629278749)	('chr19', 2.1886098885428287)	('chr2', 0.944602373347765)	('chr20', 1.2694706217500118)	('chr21', 0.7869547102638097)	('chr22', 1.1280636521559144)	('chr3', 0.9487915265840979)	('chr4', 0.7240027562646192)	('chr5', 0.8336552361516901)	('chr6', 0.9701399519699484)	('chr7', 1.0234649930411637)	('chr8', 0.795257143508693)	('chr9', 1.0410848860139112)	('chr16_KI270853v1_alt', 1.1501922666166984)	('chr17_KI270857v1_alt', 1.367028257513843)	('chr15_KI270905v1_alt', 0.6154297665127498)	('chrX', 0.5152468182205646)	('chrY', 0.23912699133947146)
HG02085	('chr1', 1.4087863338660767)	('chr10', 1.0588397840308599)	('chr11', 1.1987958299855823)	('chr12', 1.1381594000297732)	('chr13', 0.5638389424978593)	('chr14', 0.8823033928678407)	('chr15', 1.0479797693794746)	('chr16', 1.2662040033672888)	('chr17', 1.8824905730724486)	('chr18', 0.6403655665728237)	('chr19', 2.1458428798118367)	('chr2', 1.1807314865505776)	('chr20', 1.0522040967545923)	('chr21', 0.7260070923605049)	('chr22', 1.2202648978991397)	('chr3', 0.9641904777492224)	('chr4', 0.74276306858346)	('chr5', 0.8769950811674954)	('chr6', 0.8143539590275471)	('chr7', 1.029607997867202)	('chr8', 0.6887854792799982)	('chr9', 0.9637163372873901)	('chr16_KI270853v1_alt', 2.0647096689104862)	('chr17_KI270857v1_alt', 1.0693205794915703)	('chr15_KI270905v1_alt', 0.7964634908074827)	('chrX', 0.7018955843941429)	('chrY', 0.2553555695680904)
HG02372	('chr1', 1.3502774731235871)	('chr10', 1.1600505138119188)	('chr11', 1.274107804303783)	('chr12', 1.3418184699427051)	('chr13', 0.637322947702162)	('chr14', 0.9225306697661573)	('chr15', 1.0137852961325986)	('chr16', 1.1035457732949638)	('chr17', 1.8536661913296666)	('chr18', 0.6686562076793234)	('chr19', 2.1557689263099493)	('chr2', 0.9125377431505561)	('chr20', 1.2070838019267882)	('chr21', 0.748152409563093)	('chr22', 1.0708422191034175)	('chr3', 0.921626344780545)	('chr4', 0.6889441084498741)	('chr5', 0.7937668711126417)	('chr6', 0.9499451993099091)	('chr7', 0.9969248674705)	('chr8', 0.757803251002161)	('chr9', 1.0220518771968958)	('chr16_KI270853v1_alt', 1.0467678018770146)	('chr17_KI270857v1_alt', 1.4186740360008476)	('chr15_KI270905v1_alt', 0.5914360348112235)	('chrX', 0.9725914283392094)	('chrY', 0.233496431850695)
HG02511	('chr1', 1.3875058296303)	('chr10', 1.0296194804862417)	('chr11', 1.1518800761325234)	('chr12', 1.1202964414775207)	('chr13', 0.5380979086100037)	('chr14', 0.8727920087827292)	('chr15', 1.0371155284910356)	('chr16', 1.2189886255927613)	('chr17', 1.8579422876757692)	('chr18', 0.611268356351333)	('chr19', 2.005296984274579)	('chr2', 1.157902767352464)	('chr20', 0.9889200501451109)	('chr21', 0.674976906726519)	('chr22', 1.183729362392037)	('chr3', 0.9438392994950704)	('chr4', 0.7266233988436381)	('chr5', 0.8546519563444113)	('chr6', 0.7866597373683082)	('chr7', 0.9945797932917858)	('chr8', 0.6621284247416076)	('chr9', 0.9230408768572644)	('chr16_KI270853v1_alt', 2.1103242594526845)	('chr17_KI270857v1_alt', 1.1598210472517136)	('chr15_KI270905v1_alt', 0.7763911227301817)	('chrX', 1.3327578357491277)	('chrY', 0.05478002863073785)
HG02651	('chr1', 1.3206157797946574)	('chr10', 1.064165304813387)	('chr11', 1.1924477154510373)	('chr12', 1.263886208751506)	('chr13', 0.5946273857707371)	('chr14', 0.9523442815192927)	('chr15', 1.1225027119373163)	('chr16', 1.2538218396057446)	('chr17', 1.805871508891128)	('chr18', 0.6926492390769884)	('chr19', 2.3786383700088782)	('chr2', 1.1266903161773631)	('chr20', 1.047213235920113)	('chr21', 0.732405667653428)	('chr22', 1.0991606343442175)	('chr3', 0.9565103803976629)	('chr4', 0.7494381577585644)	('chr5', 0.8259584108355884)	('chr6', 0.8734035092345288)	('chr7', 1.0645612663824395)	('chr8', 0.761062729574764)	('chr9', 0.9733021951128403)	('chr16_KI270853v1_alt', 1.8556234707310657)	('chr17_KI270857v1_alt', 1.4829645732407999)	('chr15_KI270905v1_alt', 0.8697394980854993)	('chrX', 0.5347479668659942)	('chrY', 0.3387274880315166)
HG02691	('chr1', 1.2794597028330206)	('chr10', 1.0395283443743553)	('chr11', 1.1698042595519598)	('chr12', 1.2353560980333027)	('chr13', 0.5818193556982142)	('chr14', 0.9288347583728799)	('chr15', 1.1141344062928946)	('chr16', 1.2275441581895714)	('chr17', 1.7529380632572698)	('chr18', 0.6759900517021598)	('chr19', 2.306787765604977)	('chr2', 1.1004269461957266)	('chr20', 1.0321462175356155)	('chr21', 0.7255793251778335)	('chr22', 1.0766472621687366)	('chr3', 0.9358285533784575)	('chr4', 0.7358953648373083)	('chr5', 0.8035181578235016)	('chr6', 0.8551699478359508)	('chr7', 1.0416889251197932)	('chr8', 0.7496770262035594)	('chr9', 0.9680585074727504)	('chr16_KI270853v1_alt', 1.712156620932368)	('chr17_KI270857v1_alt', 1.4416903439902147)	('chr15_KI270905v1_alt', 0.8886997443226416)	('chrX', 1.0674500695188203)	('chrY', 0.045477867445446477)
