You are an expert in bioinformatics, sequencing technologies, genomics data analysis, and adjacent fields.

You are given findings from a MultiQC report, generated by a bioinformatics workflow.
MultiQC supports various bioinformatics tools that output QC metrics, and aggregates those metrics
into a single report. It outputs a "General Statistics" table with key metrics for each sample across
all tools. That table is followed by more detailed sections from specific tools, that can include tables,
as well as plots of different types (bar plot, line plot, scatter plot, heatmap, etc.)

You are given data from such a report. Your task is to analyse the data, and
give 1-2 bullet points of a very short and concise overall summary for the results.
Don't waste words: mention only the important QC issues. If there are no issues, just say so.
Just print one or two bullet points, nothing else.
Please do not add any extra headers to the response.

Use markdown to format your reponse for readability. Use directives with pre-defined classes
.text-green, .text-red, and .text-yellow to highlight severity, e.g. :span[39.2%]{.text-red}.
Highlight any mentioned sample names or sample named prefixes or suffixes with a sample directive,
and make sure to use the same color classes for severity, e.g. :sample[A1001.2003]{.text-yellow}
or :sample[A1001]{.text-yellow}. Do not put multiple sample names inside one directive.

You must use only multiples of 4 spaces to indent nested lists.



Two examples of short summaries:

- :span[11/13 samples]{.text-green} show consistent metrics within expected ranges.
- :sample[A1001.2003]{.text-red} and :sample[A1001.2004]{.text-red} exhibit extremely high percentage of :span[duplicates]{.text-red} (:span[65.54%]{.text-red} and :span[83.14%]{.text-red}, respectively).

- All samples show good quality metrics with :span[75.7-77.0%]{.text-green} CpG methylation and :span[76.3-86.0%]{.text-green} alignment rates
- :sample[2wk]{.text-yellow} samples show slightly higher duplication (:span[11-15%]{.text-yellow}) compared to :sample[1wk]{.text-green} samples (:span[6-9%]{.text-green})'



----------------------

Tools used in the report:

1. Samtools
Description: <p>Toolkit for interacting with BAM/CRAM files.</p>
Links: http://www.htslib.org

----------------------

----------------------

Tool: Samtools
Section: Percent mapped
Section description: Alignment metrics from <code>samtools stats</code>; mapped vs. unmapped reads vs. reads mapped with MQ0.
Section help text: For a set of samples that have come from the same multiplexed library,
similar numbers of reads for each sample are expected. Large differences in numbers might
indicate issues during the library preparation process. Whilst large differences in read
numbers may be controlled for in downstream processings (e.g. read count normalisation),
you may wish to consider whether the read depths achieved have fallen below recommended
levels depending on the applications.
Low alignment rates could indicate contamination of samples (e.g. adapter sequences),
low sequencing quality or other artefacts. These can be further investigated in the
sequence level QC (e.g. from FastQC).
Reads mapped with MQ0 often indicate that the reads are ambiguously mapped to multiple
locations in the reference sequence. This can be due to repetitive regions in the genome,
the presence of alternative contigs in the reference, or due to reads that are too short
to be uniquely mapped. These reads are often filtered out in downstream analyses.
Title: Samtools: stats: Alignment Scores

Plot type: bar plot
Values: # Reads

|Sample|Mapped (with MQ>0)|MQ0|Unmapped|
|HG02981|53,953,508|5,079,309|6,735|
|HG02977|67,561,670|6,672,363|11,097|
|HG02895|59,122,644|5,661,015|9,213|
|HG02878|174,822|16,666|108|
|HG02852|71,992,091|6,720,628|33,007|
|HG02840|413,725|37,392|35|
|HG02814|209,531|19,370|49|
|HG02813|209,468|19,874|20|
|HG02691|55,075,661|5,035,400|1,945|
|HG02651|63,270,687|5,987,888|2,055|
|HG02511|53,712,152|6,257,725|55,797|
|HG02372|97,374,759|6,670,435|27,264|
|HG02085|55,338,625|6,110,677|80,156|
|HG02013|92,111,441|6,165,178|58,613|
|HG01986|108,990,851|7,516,046|29,839|
|HG01890|61,583,110|7,083,367|62,319|
|HG01886|311,057,713|30,235,432|79,121|
|HG01882|110,387,863|7,617,331|13,332|
|HG01880|103,198,238|6,871,117|16,607|
|HG01770|62,959,677|7,096,338|79,427|
|HG01596|229,151|15,502|121|
|HG01522|129,575,357|11,552,782|1,163,567|
|HG01504|50,367,610|5,694,885|49,769|
|HG01503|43,786,811|5,047,611|30,584|
|HG01501|54,725,186|6,171,061|79,773|
|HG00956|70,165,482|4,548,537|499,991|
|HG00699|93,709,300|6,249,248|97,132|
|HG00407|73,067,423|4,768,617|39,628|
|HG00376|82,068,322|5,308,046|75,454|
|HG00324|79,405,735|4,965,366|54,763|
|HG00313|84,263,525|5,358,007|82,514|
|HG00173|59,692,544|7,685,208|85,634|
|HG00171|108,317,258|6,654,705|27,837|
|HG00145|161,036,366|15,924,697|634,993|
|HG00125|87,138,408|5,817,040|67,182|
|HG00106|55,116,153|6,500,507|84,900|
|HG00105|48,452,956|5,596,635|72,885|
|HG00097|48,291,173|5,986,254|52,061|

----------------------

Tool: Samtools
Section: Alignment stats
Section description: This module parses the output from <code>samtools stats</code>. All numbers in millions.
Title: Samtools: stats: Alignment Stats

Plot type: violin plot

Number of samples: 96

Metrics:
Total sequences - Total sequences
Mapped &amp; paired - Paired-end technology bit set + both mates mapped
Properly paired - Proper-pair bit set
Duplicated - PCR or optical duplicate bit set
QC Failed - QC Failed
Reads MQ0 - Reads mapped and MQ=0
Mapped bases (CIGAR) - Mapped bases (CIGAR)
Bases Trimmed - Bases Trimmed
Duplicated bases - Duplicated bases
Diff chromosomes - Pairs on different chromosomes
Other orientation - Pairs with other orientation
Inward pairs - Inward oriented pairs
Outward pairs - Outward oriented pairs

|Sample Name|Total sequences|Mapped &amp; paired|Properly paired|Duplicated|QC Failed|Reads MQ0|Mapped bases (CIGAR)|Bases Trimmed|Duplicated bases|Diff chromosomes|Other orientation|Inward pairs|Outward pairs|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|HG00097|54.33|54.28|53.85|0.0|0.0|5.99|5460.74|0.0|0.0|0.03|0.01|27.09|0.01|
|HG00105|54.12|54.05|53.78|0.0|0.0|5.60|5441.13|0.0|0.0|0.02|0.00|27.00|0.00|
|HG00106|61.70|61.62|61.12|0.0|0.0|6.50|6198.29|0.0|0.0|0.03|0.01|30.76|0.01|
|HG00125|93.02|92.91|87.23|0.0|0.0|5.82|8322.93|0.0|0.0|2.55|0.07|43.80|0.04|
|HG00145|177.60|176.95|176.07|0.0|0.0|15.92|13359.08|0.0|0.0|0.21|0.02|88.18|0.07|
|HG00171|115.00|114.97|114.25|0.0|0.0|6.65|10302.05|0.0|0.0|0.16|0.01|57.31|0.01|
|HG00173|67.46|67.38|66.62|0.0|0.0|7.69|6769.52|0.0|0.0|0.06|0.01|33.61|0.01|
|HG00313|89.70|89.60|87.59|0.0|0.0|5.36|8025.46|0.0|0.0|0.63|0.03|44.14|0.01|
|HG00324|84.43|84.33|80.77|0.0|0.0|4.97|7543.78|0.0|0.0|1.52|0.05|40.57|0.03|
|HG00376|87.45|87.35|86.06|0.0|0.0|5.31|7824.49|0.0|0.0|0.49|0.02|43.15|0.01|
|HG00407|77.88|77.81|74.43|0.0|0.0|4.77|6969.66|0.0|0.0|1.55|0.04|37.29|0.02|
|HG00699|100.06|99.90|94.34|0.0|0.0|6.25|8913.06|0.0|0.0|2.48|0.07|47.36|0.04|
|HG00956|75.21|74.71|73.91|0.0|0.0|4.55|6713.55|0.0|0.0|0.08|0.01|37.26|0.01|
|HG01501|60.98|60.90|60.56|0.0|0.0|6.17|6135.31|0.0|0.0|0.03|0.01|30.41|0.01|
|HG01503|48.87|48.83|48.60|0.0|0.0|5.05|4919.76|0.0|0.0|0.02|0.00|24.39|0.01|
|HG01504|56.11|56.06|55.76|0.0|0.0|5.69|5644.06|0.0|0.0|0.02|0.01|27.99|0.01|
|HG01522|142.29|141.11|138.61|0.0|0.0|11.55|14029.38|0.0|0.0|1.05|0.08|69.39|0.03|
|HG01596|0.24|0.24|0.24|0.0|0.0|0.02|21.94|0.0|0.0|0.00|0.00|0.12|0.00|
|HG01770|70.14|70.06|69.69|0.0|0.0|7.10|7061.55|0.0|0.0|0.04|0.01|34.98|0.01|
|HG01880|110.09|110.07|108.80|0.0|0.0|6.87|9871.64|0.0|0.0|0.22|0.02|54.78|0.01|
|HG01882|118.02|118.00|116.15|0.0|0.0|7.62|10587.85|0.0|0.0|0.26|0.02|58.70|0.01|
|HG01886|341.37|341.27|334.86|0.0|0.0|30.24|34059.68|0.0|0.0|2.90|0.10|167.54|0.10|
|HG01890|68.73|68.67|68.29|0.0|0.0|7.08|6916.37|0.0|0.0|0.03|0.01|34.28|0.01|
|HG01986|116.54|116.50|114.65|0.0|0.0|7.52|10463.07|0.0|0.0|0.19|0.02|58.03|0.01|
|HG02013|98.34|98.26|96.53|0.0|0.0|6.17|8814.77|0.0|0.0|0.22|0.03|48.86|0.02|
|HG02085|61.53|61.45|61.07|0.0|0.0|6.11|6191.51|0.0|0.0|0.03|0.01|30.68|0.01|
|HG02372|104.07|104.04|103.32|0.0|0.0|6.67|9329.38|0.0|0.0|0.24|0.01|51.75|0.01|
|HG02511|60.03|59.97|59.62|0.0|0.0|6.26|6040.89|0.0|0.0|0.03|0.01|29.94|0.01|
|HG02651|69.26|69.26|68.96|0.0|0.0|5.99|6915.33|0.0|0.0|0.11|0.01|34.50|0.01|
|HG02691|60.11|60.11|59.71|0.0|0.0|5.04|6001.57|0.0|0.0|0.10|0.01|29.94|0.01|
|HG02813|0.23|0.23|0.23|0.0|0.0|0.02|22.89|0.0|0.0|0.00|0.00|0.11|0.00|
|HG02814|0.23|0.23|0.23|0.0|0.0|0.02|22.84|0.0|0.0|0.00|0.00|0.11|0.00|
|HG02840|0.45|0.45|0.45|0.0|0.0|0.04|45.02|0.0|0.0|0.00|0.00|0.22|0.00|
|HG02852|78.75|78.71|78.25|0.0|0.0|6.72|7857.46|0.0|0.0|0.16|0.01|39.18|0.01|
|HG02878|0.19|0.19|0.19|0.0|0.0|0.02|19.09|0.0|0.0|0.00|0.00|0.09|0.00|
|HG02895|64.79|64.78|64.40|0.0|0.0|5.66|6465.60|0.0|0.0|0.15|0.01|32.23|0.01|
|HG02977|74.25|74.23|73.83|0.0|0.0|6.67|7411.15|0.0|0.0|0.14|0.01|36.96|0.01|
|HG02981|59.04|59.03|56.67|0.0|0.0|5.08|5892.84|0.0|0.0|1.09|0.03|28.38|0.02|
|HG02982|0.36|0.36|0.35|0.0|0.0|0.03|35.66|0.0|0.0|0.00|0.00|0.18|0.00|
|HG03076|8.79|8.79|8.73|0.0|0.0|0.91|666.94|0.0|0.0|0.02|0.00|4.37|0.00|
|HG03078|7.05|7.00|6.94|0.0|0.0|0.76|531.39|0.0|0.0|0.01|0.00|3.48|0.00|
|HG03105|61.85|61.84|61.42|0.0|0.0|5.26|6173.54|0.0|0.0|0.17|0.01|30.74|0.01|
|HG03139|64.68|64.67|64.19|0.0|0.0|5.56|6456.62|0.0|0.0|0.19|0.01|32.13|0.01|
|HG03157|68.85|68.84|68.34|0.0|0.0|5.96|6871.45|0.0|0.0|0.19|0.01|34.21|0.01|
|HG03267|63.39|63.38|62.96|0.0|0.0|5.38|6327.67|0.0|0.0|0.16|0.01|31.51|0.01|
|HG03303|63.79|63.77|63.23|0.0|0.0|5.20|6364.31|0.0|0.0|0.22|0.01|31.64|0.01|
|HG03436|3.89|3.89|3.84|0.0|0.0|0.40|295.05|0.0|0.0|0.01|0.00|1.93|0.00|
|HG03437|3.51|3.51|3.47|0.0|0.0|0.36|266.01|0.0|0.0|0.01|0.00|1.74|0.00|
|HG03446|66.83|66.82|66.34|0.0|0.0|5.90|6665.56|0.0|0.0|0.17|0.01|33.21|0.02|
|HG03558|27.90|27.89|27.70|0.0|0.0|4.06|2781.96|0.0|0.0|0.06|0.01|13.87|0.01|
|HG03572|3.15|3.15|3.11|0.0|0.0|0.32|238.81|0.0|0.0|0.01|0.00|1.56|0.00|
|HG03603|83.11|83.10|82.48|0.0|0.0|7.23|8292.82|0.0|0.0|0.26|0.01|41.27|0.01|
|HG03619|149.27|149.22|148.10|0.0|0.0|12.56|14860.08|0.0|0.0|0.41|0.03|74.09|0.09|
|HG03672|55.02|55.01|54.79|0.0|0.0|4.83|5489.23|0.0|0.0|0.08|0.00|27.42|0.01|
|HG03723|62.17|62.16|61.95|0.0|0.0|5.14|6202.84|0.0|0.0|0.07|0.00|31.00|0.01|
|HG03790|72.71|72.70|72.35|0.0|0.0|6.36|7257.39|0.0|0.0|0.11|0.01|36.22|0.01|
|HG03814|46.29|46.28|46.02|0.0|0.0|3.72|4620.87|0.0|0.0|0.09|0.01|23.04|0.00|
|NA06989|0.48|0.47|0.47|0.0|0.0|0.04|35.66|0.0|0.0|0.00|0.00|0.24|0.00|
|NA11840|48.77|48.72|47.21|0.0|0.0|4.11|4856.56|0.0|0.0|0.65|0.03|23.66|0.02|
|NA12046|49.88|49.53|49.06|0.0|0.0|5.56|4967.10|0.0|0.0|0.04|0.01|24.71|0.01|
|NA12234|64.77|64.72|64.30|0.0|0.0|6.87|6516.23|0.0|0.0|0.04|0.01|32.30|0.01|
|NA12347|112.75|112.72|111.91|0.0|0.0|6.77|10126.31|0.0|0.0|0.22|0.01|56.13|0.01|
|NA18488|181.35|180.99|180.11|0.0|0.0|16.17|13662.19|0.0|0.0|0.22|0.02|90.15|0.10|
|NA18498|79.37|79.13|78.88|0.0|0.0|7.43|5963.66|0.0|0.0|0.08|0.01|39.43|0.05|
|NA18499|0.59|0.59|0.59|0.0|0.0|0.06|44.64|0.0|0.0|0.00|0.00|0.29|0.00|
|NA18526|97.54|97.45|94.11|0.0|0.0|5.78|8725.39|0.0|0.0|1.42|0.05|47.23|0.03|
|NA18530|113.35|113.33|112.71|0.0|0.0|6.69|10181.27|0.0|0.0|0.15|0.01|56.50|0.01|
|NA18645|46.48|46.44|45.78|0.0|0.0|5.12|4667.69|0.0|0.0|0.03|0.01|23.17|0.01|
|NA18858|123.08|123.04|122.22|0.0|0.0|7.36|11055.06|0.0|0.0|0.21|0.01|61.29|0.01|
|NA18870|137.39|137.35|136.04|0.0|0.0|12.84|10391.47|0.0|0.0|0.19|0.02|68.45|0.02|
|NA18946|0.15|0.15|0.15|0.0|0.0|0.02|15.46|0.0|0.0|0.00|0.00|0.08|0.00|
|NA18993|64.14|64.01|63.71|0.0|0.0|6.56|6449.14|0.0|0.0|0.02|0.01|31.97|0.01|
|NA19001|0.25|0.25|0.25|0.0|0.0|0.03|25.02|0.0|0.0|0.00|0.00|0.12|0.00|
|NA19020|46.42|46.34|45.77|0.0|0.0|5.04|4660.52|0.0|0.0|0.03|0.01|23.13|0.01|
|NA19036|59.36|59.32|58.81|0.0|0.0|6.62|5970.96|0.0|0.0|0.03|0.01|29.62|0.01|
|NA19175|54.49|54.46|54.15|0.0|0.0|5.95|5488.66|0.0|0.0|0.02|0.01|27.20|0.00|
|NA19184|63.05|62.99|62.63|0.0|0.0|6.63|6340.35|0.0|0.0|0.03|0.01|31.45|0.01|
|NA19201|52.70|52.67|51.07|0.0|0.0|4.86|5253.51|0.0|0.0|0.69|0.05|25.58|0.02|
|NA19307|74.92|74.81|74.46|0.0|0.0|7.83|7537.57|0.0|0.0|0.03|0.01|37.36|0.01|
|NA19324|50.40|50.39|49.20|0.0|0.0|4.58|5025.88|0.0|0.0|0.51|0.02|24.64|0.02|
|NA19347|129.49|129.30|128.63|0.0|0.0|12.18|9752.93|0.0|0.0|0.20|0.01|64.41|0.02|
|NA19372|72.04|72.01|71.24|0.0|0.0|7.72|7245.82|0.0|0.0|0.04|0.01|35.94|0.01|
|NA19922|65.52|65.50|65.30|0.0|0.0|6.39|6603.03|0.0|0.0|0.02|0.00|32.72|0.00|
|NA20274|49.46|49.45|49.16|0.0|0.0|4.27|4751.37|0.0|0.0|0.11|0.01|24.60|0.01|
|NA20339|72.33|72.23|71.94|0.0|0.0|7.33|7283.65|0.0|0.0|0.03|0.01|36.07|0.01|
|NA20342|50.73|50.71|50.25|0.0|0.0|4.35|5059.13|0.0|0.0|0.18|0.01|25.16|0.01|
|NA20351|79.28|79.15|78.82|0.0|0.0|8.09|7975.61|0.0|0.0|0.03|0.01|39.53|0.01|
|NA20355|45.92|45.91|45.57|0.0|0.0|4.15|4416.24|0.0|0.0|0.13|0.01|22.81|0.01|
|NA20503|74.86|74.79|74.34|0.0|0.0|7.71|7523.20|0.0|0.0|0.03|0.01|37.35|0.01|
|NA20506|49.14|49.05|48.77|0.0|0.0|5.23|4924.24|0.0|0.0|0.02|0.01|24.49|0.01|
|NA20507|54.14|54.05|53.68|0.0|0.0|6.05|5443.74|0.0|0.0|0.04|0.01|26.98|0.01|
|NA20511|58.33|58.32|58.05|0.0|0.0|5.02|5626.13|0.0|0.0|0.10|0.00|29.05|0.01|
|NA20761|86.85|86.71|86.00|0.0|0.0|5.12|7771.96|0.0|0.0|0.12|0.01|43.22|0.01|
|NA20864|106.06|106.03|104.26|0.0|0.0|6.61|9510.18|0.0|0.0|0.21|0.02|52.77|0.01|
|NA20900|54.59|54.58|54.29|0.0|0.0|4.60|5449.57|0.0|0.0|0.11|0.01|27.17|0.01|
|NA21092|59.69|59.64|58.50|0.0|0.0|5.20|5943.81|0.0|0.0|0.46|0.02|29.32|0.02|

----------------------

Tool: Samtools
Section: Flagstat
Section description: This module parses the output from <code>samtools flagstat</code>
Title: Samtools: flagstat: read count

Plot type: violin plot

Number of samples: 96

Metrics:
Total Reads - Total Reads
Total Passed QC - Total Passed QC
Mapped - Mapped
Supplementary Alignments - Supplementary Alignments
Duplicates - Duplicates
Paired in Sequencing - Paired in Sequencing
Properly Paired - Properly Paired
Self and mate mapped - Reads with itself and mate mapped
Singletons - Singletons
Mate mapped to diff chr - Mate mapped to different chromosome
Diff chr (mapQ >= 5) - Mate mapped to different chromosome (mapQ >= 5)

|Sample Name|Total Reads|Total Passed QC|Mapped|Supplementary Alignments|Duplicates|Paired in Sequencing|Properly Paired|Self and mate mapped|Singletons|Mate mapped to diff chr|Diff chr (mapQ >= 5)|
|---|---|---|---|---|---|---|---|---|---|---|---|
|HG00097|54.34|54.34|54.29|0.01|0.0|54.33|53.85|54.28|0.00|0.05|0.03|
|HG00105|54.13|54.13|54.06|0.01|0.0|54.12|53.78|54.05|0.00|0.04|0.02|
|HG00106|61.72|61.72|61.63|0.01|0.0|61.70|61.12|61.62|0.00|0.06|0.03|
|HG00125|93.10|93.10|93.03|0.08|0.0|93.02|87.23|92.91|0.04|5.09|4.59|
|HG00145|177.66|177.66|177.02|0.06|0.0|177.60|176.07|176.95|0.01|0.41|0.28|
|HG00171|115.04|115.04|115.01|0.04|0.0|115.00|114.25|114.97|0.00|0.32|0.27|
|HG00173|67.48|67.48|67.39|0.01|0.0|67.46|66.62|67.38|0.00|0.12|0.08|
|HG00313|89.76|89.76|89.68|0.06|0.0|89.70|87.59|89.60|0.02|1.25|1.11|
|HG00324|84.50|84.50|84.44|0.07|0.0|84.43|80.77|84.33|0.04|3.05|2.74|
|HG00376|87.52|87.52|87.44|0.06|0.0|87.45|86.06|87.35|0.02|0.99|0.87|
|HG00407|77.93|77.93|77.89|0.05|0.0|77.88|74.43|77.81|0.03|3.09|2.79|
|HG00699|100.16|100.16|100.06|0.11|0.0|100.06|94.34|99.90|0.06|4.95|4.44|
|HG00956|75.24|75.24|74.74|0.02|0.0|75.21|73.91|74.71|0.00|0.17|0.13|
|HG01501|60.99|60.99|60.91|0.01|0.0|60.98|60.56|60.90|0.00|0.06|0.03|
|HG01503|48.88|48.88|48.85|0.01|0.0|48.87|48.60|48.83|0.00|0.04|0.03|
|HG01504|56.13|56.13|56.08|0.01|0.0|56.11|55.76|56.06|0.00|0.05|0.03|
|HG01522|142.37|142.37|141.20|0.08|0.0|142.29|138.61|141.11|0.02|2.09|1.84|
|HG01596|0.24|0.24|0.24|0.00|0.0|0.24|0.24|0.24|0.00|0.00|0.00|
|HG01770|70.15|70.15|70.07|0.02|0.0|70.14|69.69|70.06|0.00|0.07|0.05|
|HG01880|110.16|110.16|110.14|0.08|0.0|110.09|108.80|110.07|0.00|0.45|0.37|
|HG01882|118.09|118.09|118.08|0.07|0.0|118.02|116.15|118.00|0.01|0.53|0.43|
|HG01886|341.50|341.50|341.42|0.13|0.0|341.37|334.86|341.27|0.02|5.80|5.03|
|HG01890|68.75|68.75|68.69|0.02|0.0|68.73|68.29|68.67|0.00|0.07|0.04|
|HG01986|116.62|116.62|116.59|0.08|0.0|116.54|114.65|116.50|0.00|0.38|0.29|
|HG02013|98.43|98.43|98.37|0.09|0.0|98.34|96.53|98.26|0.02|0.45|0.35|
|HG02085|61.55|61.55|61.47|0.02|0.0|61.53|61.07|61.45|0.00|0.07|0.04|
|HG02372|104.15|104.15|104.12|0.08|0.0|104.07|103.32|104.04|0.00|0.49|0.42|
|HG02511|60.04|60.04|59.98|0.01|0.0|60.03|59.62|59.97|0.00|0.06|0.04|
|HG02651|69.33|69.33|69.32|0.07|0.0|69.26|68.96|69.26|0.00|0.23|0.19|
|HG02691|60.17|60.17|60.17|0.06|0.0|60.11|59.71|60.11|0.00|0.20|0.16|
|HG02813|0.23|0.23|0.23|0.00|0.0|0.23|0.23|0.23|0.00|0.00|0.00|
|HG02814|0.23|0.23|0.23|0.00|0.0|0.23|0.23|0.23|0.00|0.00|0.00|
|HG02840|0.45|0.45|0.45|0.00|0.0|0.45|0.45|0.45|0.00|0.00|0.00|
|HG02852|78.83|78.83|78.79|0.08|0.0|78.75|78.25|78.71|0.00|0.32|0.27|
|HG02878|0.19|0.19|0.19|0.00|0.0|0.19|0.19|0.19|0.00|0.00|0.00|
|HG02895|64.86|64.86|64.86|0.07|0.0|64.79|64.40|64.78|0.00|0.29|0.24|
|HG02977|74.31|74.31|74.30|0.07|0.0|74.25|73.83|74.23|0.00|0.27|0.23|
|HG02981|59.10|59.10|59.10|0.07|0.0|59.04|56.67|59.03|0.00|2.18|1.92|
|HG02982|0.36|0.36|0.36|0.00|0.0|0.36|0.35|0.36|0.00|0.00|0.00|
|HG03076|8.80|8.80|8.79|0.00|0.0|8.79|8.73|8.79|0.00|0.04|0.03|
|HG03078|7.06|7.06|7.02|0.00|0.0|7.05|6.94|7.00|0.03|0.02|0.02|
|HG03105|61.92|61.92|61.91|0.07|0.0|61.85|61.42|61.84|0.00|0.33|0.29|
|HG03139|64.75|64.75|64.74|0.07|0.0|64.68|64.19|64.67|0.00|0.38|0.32|
|HG03157|68.94|68.94|68.93|0.09|0.0|68.85|68.34|68.84|0.00|0.37|0.31|
|HG03267|63.47|63.47|63.46|0.08|0.0|63.39|62.96|63.38|0.00|0.31|0.27|
|HG03303|63.87|63.87|63.85|0.08|0.0|63.79|63.23|63.77|0.00|0.45|0.38|
|HG03436|3.89|3.89|3.89|0.00|0.0|3.89|3.84|3.89|0.00|0.02|0.02|
|HG03437|3.51|3.51|3.51|0.00|0.0|3.51|3.47|3.51|0.00|0.02|0.01|
|HG03446|66.91|66.91|66.90|0.08|0.0|66.83|66.34|66.82|0.00|0.34|0.27|
