Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
HG00407	('chr1', 8105190)	('chr10', 3782503)	('chr11', 4168086)	('chr12', 4309081)	('chr13', 1812675)	('chr14', 2339134)	('chr15', 2469361)	('chr16', 2401604)	('chr17', 3627321)	('chr18', 1339405)	('chr19', 3032180)	('chr2', 5419463)	('chr20', 1889276)	('chr21', 866901)	('chr22', 1314002)	('chr3', 4460747)	('chr4', 3300705)	('chr5', 3560779)	('chr6', 3989922)	('chr7', 3900556)	('chr8', 2720576)	('chr9', 3485091)	('chr16_KI270853v1_alt', 68304)	('chr17_KI270857v1_alt', 88005)	('chr15_KI270905v1_alt', 74572)	('chrX', 3774388)	('chrY', 49019)
HG00699	('chr1', 10383824)	('chr10', 4842051)	('chr11', 5343423)	('chr12', 5521635)	('chr13', 2339717)	('chr14', 3023745)	('chr15', 3214209)	('chr16', 3109531)	('chr17', 4640721)	('chr18', 1737693)	('chr19', 3847688)	('chr2', 7011193)	('chr20', 2430364)	('chr21', 1120623)	('chr22', 1675173)	('chr3', 5766249)	('chr4', 4267259)	('chr5', 4619362)	('chr6', 5127660)	('chr7', 4943030)	('chr8', 3512111)	('chr9', 4437387)	('chr16_KI270853v1_alt', 87079)	('chr17_KI270857v1_alt', 119293)	('chr15_KI270905v1_alt', 97753)	('chrX', 4757135)	('chrY', 67719)
HG00956	('chr1', 7699225)	('chr10', 3588075)	('chr11', 4049756)	('chr12', 4023361)	('chr13', 1704078)	('chr14', 2244297)	('chr15', 2372385)	('chr16', 2444387)	('chr17', 3545822)	('chr18', 1286187)	('chr19', 3067133)	('chr2', 5173298)	('chr20', 1887483)	('chr21', 845455)	('chr22', 1366708)	('chr3', 4236372)	('chr4', 3074626)	('chr5', 3414752)	('chr6', 3738507)	('chr7', 3714565)	('chr8', 2624421)	('chr9', 3310956)	('chr16_KI270853v1_alt', 64186)	('chr17_KI270857v1_alt', 80632)	('chr15_KI270905v1_alt', 74718)	('chrX', 3545854)	('chrY', 45500)
HG01501	('chr1', 6555195)	('chr10', 2596870)	('chr11', 2961696)	('chr12', 2819967)	('chr13', 1183817)	('chr14', 1794090)	('chr15', 1986885)	('chr16', 2165771)	('chr17', 2924513)	('chr18', 947889)	('chr19', 2311275)	('chr2', 5301866)	('chr20', 1227739)	('chr21', 626755)	('chr22', 1142218)	('chr3', 3533519)	('chr4', 2607133)	('chr5', 2943036)	('chr6', 2562307)	('chr7', 2978718)	('chr8', 1827833)	('chr9', 2425119)	('chr16_KI270853v1_alt', 130932)	('chr17_KI270857v1_alt', 56094)	('chr15_KI270905v1_alt', 74640)	('chrX', 3784869)	('chrY', 62870)
HG01503	('chr1', 5398966)	('chr10', 2141229)	('chr11', 2449368)	('chr12', 2326669)	('chr13', 963004)	('chr14', 1418047)	('chr15', 1640530)	('chr16', 1753616)	('chr17', 2406067)	('chr18', 774292)	('chr19', 1913374)	('chr2', 4362686)	('chr20', 1003639)	('chr21', 501193)	('chr22', 912125)	('chr3', 2896439)	('chr4', 2135069)	('chr5', 2417776)	('chr6', 2107303)	('chr7', 2531338)	('chr8', 1516269)	('chr9', 2034359)	('chr16_KI270853v1_alt', 94549)	('chr17_KI270857v1_alt', 54499)	('chr15_KI270905v1_alt', 62903)	('chrX', 1671495)	('chrY', 196160)
HG01504	('chr1', 6042789)	('chr10', 2404834)	('chr11', 2722622)	('chr12', 2586511)	('chr13', 1097951)	('chr14', 1590505)	('chr15', 1809661)	('chr16', 1946992)	('chr17', 2645668)	('chr18', 881586)	('chr19', 2110499)	('chr2', 4887756)	('chr20', 1138421)	('chr21', 568178)	('chr22', 1048003)	('chr3', 3259407)	('chr4', 2428319)	('chr5', 2723000)	('chr6', 2355151)	('chr7', 2792198)	('chr8', 1674275)	('chr9', 2275379)	('chr16_KI270853v1_alt', 102489)	('chr17_KI270857v1_alt', 50623)	('chr15_KI270905v1_alt', 71895)	('chrX', 3555424)	('chrY', 61036)
HG01522	('chr1', 15455582)	('chr10', 6166135)	('chr11', 7014899)	('chr12', 7178964)	('chr13', 3066809)	('chr14', 4410600)	('chr15', 4859343)	('chr16', 4324129)	('chr17', 6161965)	('chr18', 2384805)	('chr19', 5451772)	('chr2', 11374650)	('chr20', 2707386)	('chr21', 1505330)	('chr22', 1959506)	('chr3', 8225501)	('chr4', 6609080)	('chr5', 6816453)	('chr6', 7020053)	('chr7', 6902345)	('chr8', 4717917)	('chr9', 5784522)	('chr16_KI270853v1_alt', 159104)	('chr17_KI270857v1_alt', 175632)	('chr15_KI270905v1_alt', 166798)	('chrX', 7185239)	('chrY', 70298)
HG01596	('chr1', 26442)	('chr10', 12108)	('chr11', 13165)	('chr12', 13867)	('chr13', 5892)	('chr14', 7524)	('chr15', 7973)	('chr16', 7640)	('chr17', 11592)	('chr18', 4355)	('chr19', 9794)	('chr2', 17385)	('chr20', 6308)	('chr21', 2666)	('chr22', 4373)	('chr3', 14278)	('chr4', 10574)	('chr5', 11521)	('chr6', 12965)	('chr7', 12132)	('chr8', 8495)	('chr9', 10892)	('chr16_KI270853v1_alt', 247)	('chr17_KI270857v1_alt', 283)	('chr15_KI270905v1_alt', 213)	('chrX', 6213)	('chrY', 1002)
HG01770	('chr1', 7556713)	('chr10', 3019381)	('chr11', 3433399)	('chr12', 3232406)	('chr13', 1336285)	('chr14', 1984451)	('chr15', 2321791)	('chr16', 2475517)	('chr17', 3372866)	('chr18', 1073505)	('chr19', 2705642)	('chr2', 6056880)	('chr20', 1435371)	('chr21', 708018)	('chr22', 1334130)	('chr3', 4041892)	('chr4', 2932818)	('chr5', 3358478)	('chr6', 2917959)	('chr7', 3452067)	('chr8', 2127830)	('chr9', 2808280)	('chr16_KI270853v1_alt', 135427)	('chr17_KI270857v1_alt', 67664)	('chr15_KI270905v1_alt', 92249)	('chrX', 4420279)	('chrY', 74523)
HG01880	('chr1', 11533925)	('chr10', 5319306)	('chr11', 5959684)	('chr12', 6093549)	('chr13', 2488813)	('chr14', 3322296)	('chr15', 3538915)	('chr16', 3495804)	('chr17', 5313322)	('chr18', 1834622)	('chr19', 4524376)	('chr2', 7576906)	('chr20', 2715624)	('chr21', 1215159)	('chr22', 1951203)	('chr3', 6263205)	('chr4', 4464615)	('chr5', 4957118)	('chr6', 5543437)	('chr7', 5451069)	('chr8', 3781222)	('chr9', 4861620)	('chr16_KI270853v1_alt', 106857)	('chr17_KI270857v1_alt', 132922)	('chr15_KI270905v1_alt', 107445)	('chrX', 5252899)	('chrY', 66850)
HG01882	('chr1', 12374613)	('chr10', 5931015)	('chr11', 6468650)	('chr12', 6595295)	('chr13', 2854685)	('chr14', 3653760)	('chr15', 3833810)	('chr16', 3693961)	('chr17', 5367934)	('chr18', 2134789)	('chr19', 4284312)	('chr2', 8492400)	('chr20', 2930512)	('chr21', 1347828)	('chr22', 1998852)	('chr3', 6942360)	('chr4', 5198891)	('chr5', 5600439)	('chr6', 6193580)	('chr7', 6092814)	('chr8', 4328371)	('chr9', 5388526)	('chr16_KI270853v1_alt', 103204)	('chr17_KI270857v1_alt', 156058)	('chr15_KI270905v1_alt', 123428)	('chrX', 3083902)	('chrY', 528597)
HG01886	('chr1', 36579463)	('chr10', 14942844)	('chr11', 17176832)	('chr12', 16889158)	('chr13', 7139484)	('chr14', 10356411)	('chr15', 11604412)	('chr16', 11345561)	('chr17', 15140718)	('chr18', 5868050)	('chr19', 13059142)	('chr2', 26514409)	('chr20', 6982621)	('chr21', 3787461)	('chr22', 5203765)	('chr3', 19627971)	('chr4', 15691750)	('chr5', 16255942)	('chr6', 16223398)	('chr7', 16684442)	('chr8', 11726675)	('chr9', 14225460)	('chr16_KI270853v1_alt', 418330)	('chr17_KI270857v1_alt', 570362)	('chr15_KI270905v1_alt', 436939)	('chrX', 18162889)	('chrY', 243775)
HG01890	('chr1', 7511100)	('chr10', 3050305)	('chr11', 3457143)	('chr12', 3253589)	('chr13', 1352058)	('chr14', 2074539)	('chr15', 2343624)	('chr16', 2491922)	('chr17', 3421849)	('chr18', 1080911)	('chr19', 2681783)	('chr2', 6061535)	('chr20', 1434129)	('chr21', 713837)	('chr22', 1370817)	('chr3', 4091636)	('chr4', 2980083)	('chr5', 3397841)	('chr6', 2941848)	('chr7', 3488508)	('chr8', 2170275)	('chr9', 2817262)	('chr16_KI270853v1_alt', 123842)	('chr17_KI270857v1_alt', 72464)	('chr15_KI270905v1_alt', 84360)	('chrX', 2323990)	('chrY', 281278)
HG01986	('chr1', 12228336)	('chr10', 5601943)	('chr11', 6476825)	('chr12', 6390240)	('chr13', 2585020)	('chr14', 3586923)	('chr15', 3768154)	('chr16', 4128435)	('chr17', 5977160)	('chr18', 1984376)	('chr19', 5369645)	('chr2', 8027577)	('chr20', 3076552)	('chr21', 1337839)	('chr22', 2338190)	('chr3', 6649441)	('chr4', 4621983)	('chr5', 5266526)	('chr6', 5801169)	('chr7', 5915282)	('chr8', 4089433)	('chr9', 5248625)	('chr16_KI270853v1_alt', 115420)	('chr17_KI270857v1_alt', 162118)	('chr15_KI270905v1_alt', 116852)	('chrX', 2820296)	('chrY', 471573)
HG02013	('chr1', 10288155)	('chr10', 4840407)	('chr11', 5373393)	('chr12', 5433993)	('chr13', 2336081)	('chr14', 3034405)	('chr15', 3178240)	('chr16', 3203376)	('chr17', 4692279)	('chr18', 1765494)	('chr19', 3932229)	('chr2', 7012193)	('chr20', 2507544)	('chr21', 1126683)	('chr22', 1757104)	('chr3', 5766683)	('chr4', 4221106)	('chr5', 4638707)	('chr6', 5079018)	('chr7', 4998692)	('chr8', 3537797)	('chr9', 4416192)	('chr16_KI270853v1_alt', 93766)	('chr17_KI270857v1_alt', 120551)	('chr15_KI270905v1_alt', 97362)	('chrX', 2464314)	('chrY', 419445)
HG02085	('chr1', 6717408)	('chr10', 2713384)	('chr11', 3101636)	('chr12', 2905267)	('chr13', 1235034)	('chr14', 1808891)	('chr15', 2047146)	('chr16', 2190832)	('chr17', 3001851)	('chr18', 985764)	('chr19', 2409125)	('chr2', 5477053)	('chr20', 1298724)	('chr21', 649507)	('chr22', 1187706)	('chr3', 3661922)	('chr4', 2705997)	('chr5', 3049289)	('chr6', 2664094)	('chr7', 3142290)	('chr8', 1914698)	('chr9', 2554477)	('chr16_KI270853v1_alt', 105178)	('chr17_KI270857v1_alt', 58924)	('chr15_KI270905v1_alt', 78735)	('chrX', 2097704)	('chrY', 279887)
HG02372	('chr1', 10906267)	('chr10', 5035637)	('chr11', 5584037)	('chr12', 5801940)	('chr13', 2364721)	('chr14', 3203847)	('chr15', 3354582)	('chr16', 3234389)	('chr17', 5007078)	('chr18', 1743590)	('chr19', 4099776)	('chr2', 7170396)	('chr20', 2523776)	('chr21', 1133782)	('chr22', 1765537)	('chr3', 5929221)	('chr4', 4251650)	('chr5', 4675100)	('chr6', 5264188)	('chr7', 5153868)	('chr8', 3568365)	('chr9', 4589044)	('chr16_KI270853v1_alt', 90326)	('chr17_KI270857v1_alt', 132423)	('chr15_KI270905v1_alt', 99039)	('chrX', 4923780)	('chrY', 433525)
HG02511	('chr1', 6456318)	('chr10', 2574846)	('chr11', 2908348)	('chr12', 2790676)	('chr13', 1150214)	('chr14', 1746219)	('chr15', 1977045)	('chr16', 2058252)	('chr17', 2891226)	('chr18', 918270)	('chr19', 2197018)	('chr2', 5241570)	('chr20', 1191164)	('chr21', 589285)	('chr22', 1124348)	('chr3', 3498145)	('chr4', 2583330)	('chr5', 2899908)	('chr6', 2511405)	('chr7', 2962153)	('chr8', 1796189)	('chr9', 2387631)	('chr16_KI270853v1_alt', 104908)	('chr17_KI270857v1_alt', 62369)	('chr15_KI270905v1_alt', 74899)	('chrX', 3887017)	('chrY', 58594)
HG02651	('chr1', 7101978)	('chr10', 3075646)	('chr11', 3479615)	('chr12', 3638624)	('chr13', 1468977)	('chr14', 2202088)	('chr15', 2473031)	('chr16', 2446738)	('chr17', 3247801)	('chr18', 1202554)	('chr19', 3011869)	('chr2', 5894495)	('chr20', 1457801)	('chr21', 738994)	('chr22', 1206597)	('chr3', 4097153)	('chr4', 3079350)	('chr5', 3238962)	('chr6', 3222534)	('chr7', 3664302)	('chr8', 2386069)	('chr9', 2909690)	('chr16_KI270853v1_alt', 106611)	('chr17_KI270857v1_alt', 92164)	('chr15_KI270905v1_alt', 96970)	('chrX', 1802466)	('chrY', 418730)
HG02691	('chr1', 5971650)	('chr10', 2607525)	('chr11', 2962579)	('chr12', 3086642)	('chr13', 1247450)	('chr14', 1863992)	('chr15', 2130319)	('chr16', 2078996)	('chr17', 2736113)	('chr18', 1018583)	('chr19', 2535013)	('chr2', 4996526)	('chr20', 1247008)	('chr21', 635388)	('chr22', 1025745)	('chr3', 3478994)	('chr4', 2624244)	('chr5', 2734691)	('chr6', 2738419)	('chr7', 3111885)	('chr8', 2039866)	('chr9', 2511687)	('chr16_KI270853v1_alt', 85373)	('chr17_KI270857v1_alt', 77762)	('chr15_KI270905v1_alt', 85994)	('chrX', 3122701)	('chrY', 48792)
HG02813	('chr1', 23727)	('chr10', 9861)	('chr11', 11601)	('chr12', 12502)	('chr13', 4670)	('chr14', 7101)	('chr15', 8484)	('chr16', 8370)	('chr17', 11482)	('chr18', 3837)	('chr19', 10761)	('chr2', 18971)	('chr20', 4962)	('chr21', 2494)	('chr22', 4150)	('chr3', 13413)	('chr4', 9675)	('chr5', 10307)	('chr6', 10619)	('chr7', 11901)	('chr8', 7645)	('chr9', 9350)	('chr16_KI270853v1_alt', 344)	('chr17_KI270857v1_alt', 455)	('chr15_KI270905v1_alt', 300)	('chrX', 5922)	('chrY', 1372)
HG02814	('chr1', 23441)	('chr10', 10162)	('chr11', 11167)	('chr12', 11803)	('chr13', 4840)	('chr14', 7140)	('chr15', 8280)	('chr16', 8042)	('chr17', 10951)	('chr18', 3620)	('chr19', 9819)	('chr2', 18647)	('chr20', 4694)	('chr21', 2468)	('chr22', 3756)	('chr3', 13054)	('chr4', 9725)	('chr5', 10299)	('chr6', 10490)	('chr7', 11859)	('chr8', 7677)	('chr9', 9423)	('chr16_KI270853v1_alt', 416)	('chr17_KI270857v1_alt', 408)	('chr15_KI270905v1_alt', 274)	('chrX', 11205)	('chrY', 207)
HG02840	('chr1', 45592)	('chr10', 19250)	('chr11', 22402)	('chr12', 22942)	('chr13', 8927)	('chr14', 13964)	('chr15', 16019)	('chr16', 16467)	('chr17', 21884)	('chr18', 7486)	('chr19', 19861)	('chr2', 37510)	('chr20', 9045)	('chr21', 4655)	('chr22', 7741)	('chr3', 26493)	('chr4', 19177)	('chr5', 20333)	('chr6', 20430)	('chr7', 23071)	('chr8', 15316)	('chr9', 18540)	('chr16_KI270853v1_alt', 713)	('chr17_KI270857v1_alt', 733)	('chr15_KI270905v1_alt', 614)	('chrX', 22147)	('chrY', 366)
HG02852	('chr1', 7925899)	('chr10', 3385164)	('chr11', 3894747)	('chr12', 4076390)	('chr13', 1597834)	('chr14', 2439524)	('chr15', 2814705)	('chr16', 2847124)	('chr17', 3853352)	('chr18', 1285704)	('chr19', 3532391)	('chr2', 6476613)	('chr20', 1621720)	('chr21', 822089)	('chr22', 1377389)	('chr3', 4535697)	('chr4', 3315574)	('chr5', 3534309)	('chr6', 3542294)	('chr7', 4019199)	('chr8', 2599210)	('chr9', 3274542)	('chr16_KI270853v1_alt', 106926)	('chr17_KI270857v1_alt', 161035)	('chr15_KI270905v1_alt', 107181)	('chrX', 3777010)	('chrY', 66215)
HG02878	('chr1', 18619)	('chr10', 8723)	('chr11', 9311)	('chr12', 9640)	('chr13', 4557)	('chr14', 5947)	('chr15', 6620)	('chr16', 7018)	('chr17', 8455)	('chr18', 3674)	('chr19', 7341)	('chr2', 15696)	('chr20', 4191)	('chr21', 2239)	('chr22', 3212)	('chr3', 11496)	('chr4', 9449)	('chr5', 9580)	('chr6', 9172)	('chr7', 10180)	('chr8', 7348)	('chr9', 8026)	('chr16_KI270853v1_alt', 243)	('chr17_KI270857v1_alt', 250)	('chr15_KI270905v1_alt', 230)	('chrX', 4837)	('chrY', 1315)
HG02895	('chr1', 6679398)	('chr10', 2823530)	('chr11', 3269984)	('chr12', 3419201)	('chr13', 1337533)	('chr14', 2057172)	('chr15', 2319297)	('chr16', 2394402)	('chr17', 3197395)	('chr18', 1094897)	('chr19', 2956273)	('chr2', 5388438)	('chr20', 1386243)	('chr21', 694274)	('chr22', 1160613)	('chr3', 3812906)	('chr4', 2804753)	('chr5', 3001690)	('chr6', 2968509)	('chr7', 3338384)	('chr8', 2202157)	('chr9', 2695758)	('chr16_KI270853v1_alt', 98094)	('chr17_KI270857v1_alt', 102984)	('chr15_KI270905v1_alt', 87608)	('chrX', 1674082)	('chrY', 385579)
HG02977	('chr1', 7670994)	('chr10', 3225240)	('chr11', 3776501)	('chr12', 3894964)	('chr13', 1499093)	('chr14', 2338295)	('chr15', 2655261)	('chr16', 2769998)	('chr17', 3768804)	('chr18', 1223179)	('chr19', 3498875)	('chr2', 6066863)	('chr20', 1583419)	('chr21', 795201)	('chr22', 1357950)	('chr3', 4328638)	('chr4', 3117347)	('chr5', 3361420)	('chr6', 3369626)	('chr7', 3937325)	('chr8', 2513482)	('chr9', 3097520)	('chr16_KI270853v1_alt', 103637)	('chr17_KI270857v1_alt', 147975)	('chr15_KI270905v1_alt', 100019)	('chrX', 1915506)	('chrY', 413348)
HG02981	('chr1', 6040807)	('chr10', 2577273)	('chr11', 3014744)	('chr12', 3120221)	('chr13', 1216369)	('chr14', 1855000)	('chr15', 2115817)	('chr16', 2154757)	('chr17', 2951989)	('chr18', 1000876)	('chr19', 2751623)	('chr2', 4893956)	('chr20', 1269122)	('chr21', 638990)	('chr22', 1074270)	('chr3', 3475149)	('chr4', 2535186)	('chr5', 2711834)	('chr6', 2708816)	('chr7', 3094454)	('chr8', 1984673)	('chr9', 2455927)	('chr16_KI270853v1_alt', 82633)	('chr17_KI270857v1_alt', 99996)	('chr15_KI270905v1_alt', 80834)	('chrX', 1518331)	('chrY', 336012)
HG02982	('chr1', 36878)	('chr10', 15902)	('chr11', 18716)	('chr12', 18707)	('chr13', 7063)	('chr14', 11143)	('chr15', 12781)	('chr16', 13534)	('chr17', 18110)	('chr18', 5911)	('chr19', 16979)	('chr2', 28892)	('chr20', 7821)	('chr21', 3733)	('chr22', 6595)	('chr3', 21251)	('chr4', 14625)	('chr5', 15892)	('chr6', 16272)	('chr7', 18850)	('chr8', 11871)	('chr9', 14683)	('chr16_KI270853v1_alt', 598)	('chr17_KI270857v1_alt', 676)	('chr15_KI270905v1_alt', 466)	('chrX', 9014)	('chrY', 2173)
HG03076	('chr1', 957794)	('chr10', 353552)	('chr11', 485007)	('chr12', 445207)	('chr13', 136907)	('chr14', 267314)	('chr15', 302224)	('chr16', 372604)	('chr17', 522295)	('chr18', 118895)	('chr19', 499683)	('chr2', 598321)	('chr20', 206452)	('chr21', 87706)	('chr22', 187235)	('chr3', 475983)	('chr4', 301618)	('chr5', 371500)	('chr6', 371856)	('chr7', 404633)	('chr8', 263316)	('chr9', 368978)	('chr16_KI270853v1_alt', 12730)	('chr17_KI270857v1_alt', 23485)	('chr15_KI270905v1_alt', 10402)	('chrX', 401642)	('chrY', 5891)
HG03078	('chr1', 784068)	('chr10', 292473)	('chr11', 384389)	('chr12', 363499)	('chr13', 122404)	('chr14', 217181)	('chr15', 252356)	('chr16', 286248)	('chr17', 401666)	('chr18', 103310)	('chr19', 377793)	('chr2', 510784)	('chr20', 157996)	('chr21', 73754)	('chr22', 139226)	('chr3', 393255)	('chr4', 265358)	('chr5', 310409)	('chr6', 312860)	('chr7', 341308)	('chr8', 212535)	('chr9', 297087)	('chr16_KI270853v1_alt', 9957)	('chr17_KI270857v1_alt', 14850)	('chr15_KI270905v1_alt', 9085)	('chrX', 175435)	('chrY', 23778)
HG03105	('chr1', 6267641)	('chr10', 2653092)	('chr11', 3078468)	('chr12', 3225623)	('chr13', 1249167)	('chr14', 1952929)	('chr15', 2233933)	('chr16', 2205424)	('chr17', 3074603)	('chr18', 1012422)	('chr19', 2772493)	('chr2', 5079206)	('chr20', 1287599)	('chr21', 651242)	('chr22', 1105047)	('chr3', 3568131)	('chr4', 2591619)	('chr5', 2780341)	('chr6', 2776887)	('chr7', 3163797)	('chr8', 2046839)	('chr9', 2520511)	('chr16_KI270853v1_alt', 92256)	('chr17_KI270857v1_alt', 119641)	('chr15_KI270905v1_alt', 83850)	('chrX', 2892366)	('chrY', 51804)
HG03139	('chr1', 6645297)	('chr10', 2862846)	('chr11', 3269414)	('chr12', 3437581)	('chr13', 1337037)	('chr14', 2048082)	('chr15', 2286572)	('chr16', 2336443)	('chr17', 3213821)	('chr18', 1089917)	('chr19', 2932861)	('chr2', 5423611)	('chr20', 1373562)	('chr21', 691261)	('chr22', 1152589)	('chr3', 3808651)	('chr4', 2793129)	('chr5', 2979738)	('chr6', 2973837)	('chr7', 3411997)	('chr8', 2230221)	('chr9', 2690995)	('chr16_KI270853v1_alt', 92699)	('chr17_KI270857v1_alt', 117111)	('chr15_KI270905v1_alt', 85612)	('chrX', 1674061)	('chrY', 355945)
