Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
HG00956	('chr1', 0.10301586281519287)	('chr10', 0.04800855176600543)	('chr11', 0.05418585747669463)	('chr12', 0.05383269158025609)	('chr13', 0.022800615058579044)	('chr14', 0.030028761579061387)	('chr15', 0.03174258288396836)	('chr16', 0.03270597181654528)	('chr17', 0.04744320535107011)	('chr18', 0.01720922086920235)	('chr19', 0.04103833208718422)	('chr2', 0.06921888333827257)	('chr20', 0.025254579492612398)	('chr21', 0.01131221341062495)	('chr22', 0.018286594278830223)	('chr3', 0.056682785187616186)	('chr4', 0.04113858865327682)	('chr5', 0.045689484796184746)	('chr6', 0.050021336465116716)	('chr7', 0.04970099178269461)	('chr8', 0.03511483216886262)	('chr9', 0.044300691184260714)	('chr16_KI270853v1_alt', 0.0008588106167381742)	('chr17_KI270857v1_alt', 0.0010788585929771674)	('chr15_KI270905v1_alt', 0.0009997290945290703)	('chrX', 0.04744363351203568)	('chrY', 0.0006087913729097768)
HG01501	('chr1', 0.10761908115739524)	('chr10', 0.04263378332531755)	('chr11', 0.048623267833761294)	('chr12', 0.04629644998114875)	('chr13', 0.019435165208434555)	('chr14', 0.02945424465842301)	('chr15', 0.032619432078742315)	('chr16', 0.035556270258525195)	('chr17', 0.048012820654893935)	('chr18', 0.01556184724012058)	('chr19', 0.03794506369407145)	('chr2', 0.0870427115195863)	('chr20', 0.0201562490636967)	('chr21', 0.010289670591157587)	('chr22', 0.018752218910564472)	('chr3', 0.05801109929333881)	('chr4', 0.04280227482403244)	('chr5', 0.04831691965427968)	('chr6', 0.04206634966361213)	('chr7', 0.04890272435633022)	('chr8', 0.03000821607429912)	('chr9', 0.039814083101622634)	('chr16_KI270853v1_alt', 0.0021495594767356385)	('chr17_KI270857v1_alt', 0.0009209161189625829)	('chr15_KI270905v1_alt', 0.0012253927179264662)	('chrX', 0.06213760598748159)	('chrY', 0.0010321602381569792)
HG01503	('chr1', 0.11053002356439603)	('chr10', 0.04383618860107068)	('chr11', 0.05014454670725424)	('chr12', 0.04763259842654126)	('chr13', 0.01971504447566583)	('chr14', 0.029030886344796596)	('chr15', 0.033585656875427375)	('chr16', 0.03590080356181201)	('chr17', 0.0492580694539502)	('chr18', 0.015851648816777756)	('chr19', 0.0391714401067728)	('chr2', 0.08931484035722038)	('chr20', 0.02054694219599584)	('chr21', 0.010260645112473453)	('chr22', 0.018673427049489613)	('chr3', 0.05929718226098029)	('chr4', 0.043710078352338484)	('chr5', 0.04949778128875625)	('chr6', 0.0431416405006667)	('chr7', 0.051822672857997465)	('chr8', 0.031041730638785875)	('chr9', 0.0416482986202249)	('chr16_KI270853v1_alt', 0.0019356490109384058)	('chr17_KI270857v1_alt', 0.0011157276697493594)	('chr15_KI270905v1_alt', 0.001287778080519715)	('chrX', 0.034219586072179405)	('chrY', 0.0040158744141733675)
HG01504	('chr1', 0.1077618181999107)	('chr10', 0.042885707958521146)	('chr11', 0.04855286143386394)	('chr12', 0.04612557680800525)	('chr13', 0.019579898628664702)	('chr14', 0.028363676219051993)	('chr15', 0.03227191280143467)	('chr16', 0.03472095384112875)	('chr17', 0.04718053104838202)	('chr18', 0.015721434301211985)	('chr19', 0.03763679478947442)	('chr2', 0.08716396906751547)	('chr20', 0.020301605241712154)	('chr21', 0.010132389918163428)	('chr22', 0.01868916964649287)	('chr3', 0.058125416024540376)	('chr4', 0.043304518924852244)	('chr5', 0.04855960235552769)	('chr6', 0.041999704754764375)	('chr7', 0.049793619015020094)	('chr8', 0.029857557191994538)	('chr9', 0.04057712061994794)	('chr16_KI270853v1_alt', 0.001827699260306896)	('chr17_KI270857v1_alt', 0.0009027663422856696)	('chr15_KI270905v1_alt', 0.0012821126005694687)	('chrX', 0.06340432451167818)	('chrY', 0.001088462684308479)
HG01522	('chr1', 0.10945516354889243)	('chr10', 0.04366806212082792)	('chr11', 0.0496789391252922)	('chr12', 0.05084083399328546)	('chr13', 0.021718889697470805)	('chr14', 0.031235507297541102)	('chr15', 0.03441346840288289)	('chr16', 0.030623126770736208)	('chr17', 0.04363853052298845)	('chr18', 0.016888993329867253)	('chr19', 0.0386090019703737)	('chr2', 0.0805543379771405)	('chr20', 0.019173485503165243)	('chr21', 0.01066062354332915)	('chr22', 0.013877060708877608)	('chr3', 0.05825232315590433)	('chr4', 0.04680496226591234)	('chr5', 0.04827356083635921)	('chr6', 0.049715439330391624)	('chr7', 0.048881840932672734)	('chr8', 0.03341190107529434)	('chr9', 0.04096551016727589)	('chr16_KI270853v1_alt', 0.0011267614730576293)	('chr17_KI270857v1_alt', 0.0012438114128875298)	('chr15_KI270905v1_alt', 0.0011812497497427246)	('chrX', 0.05088527302840361)	('chrY', 0.0004978446678462215)
HG01596	('chr1', 0.10801338218894377)	('chr10', 0.04946017818409088)	('chr11', 0.053777935727911834)	('chr12', 0.05664554764443246)	('chr13', 0.024068332495925295)	('chr14', 0.030734917464246763)	('chr15', 0.03256904531398717)	('chr16', 0.031208767866406865)	('chr17', 0.04735236087793042)	('chr18', 0.017789814667303915)	('chr19', 0.040007679644448804)	('chr2', 0.07101628656511562)	('chr20', 0.025767658076085668)	('chr21', 0.010890389415162396)	('chr22', 0.01786334317798393)	('chr3', 0.05832444863829283)	('chr4', 0.0431939151072495)	('chr5', 0.047062331752470356)	('chr6', 0.05296095227591165)	('chr7', 0.0495582161983309)	('chr8', 0.034701372123707636)	('chr9', 0.04449291879592979)	('chr16_KI270853v1_alt', 0.001008974563220222)	('chr17_KI270857v1_alt', 0.0011560315845802543)	('chr15_KI270905v1_alt', 0.0008700873763801914)	('chrX', 0.025379590936385584)	('chrY', 0.0040930870945209)
HG01770	('chr1', 0.10783917547176222)	('chr10', 0.043088517120486766)	('chr11', 0.04899682139914179)	('chr12', 0.04612852146561303)	('chr13', 0.019069650070775983)	('chr14', 0.02831939754812893)	('chr15', 0.03313345723964352)	('chr16', 0.03532722655291135)	('chr17', 0.04813297639022956)	('chr18', 0.015319609738362976)	('chr19', 0.038611258943110544)	('chr2', 0.08643558980358354)	('chr20', 0.020483671291483322)	('chr21', 0.010103874176399996)	('chr22', 0.019038896828838428)	('chr3', 0.05768040954127965)	('chr4', 0.041853207198519086)	('chr5', 0.04792765033686645)	('chr6', 0.041641159670932036)	('chr7', 0.04926322581700268)	('chr8', 0.03036550848815878)	('chr9', 0.04007596949809268)	('chr16_KI270853v1_alt', 0.001932630763747987)	('chr17_KI270857v1_alt', 0.0009656089849014141)	('chr15_KI270905v1_alt', 0.001316452814615904)	('chrX', 0.06308023643549063)	('chrY', 0.001063491345202886)
HG01880	('chr1', 0.10471600976932095)	('chr10', 0.04829375074504191)	('chr11', 0.05410771510704862)	('chr12', 0.055323069693433584)	('chr13', 0.022595826348967327)	('chr14', 0.030162982713393394)	('chr15', 0.03212965731204221)	('chr16', 0.031738254394374096)	('chr17', 0.048239422266015075)	('chr18', 0.016656454353137475)	('chr19', 0.041076615412019866)	('chr2', 0.06879040419607606)	('chr20', 0.024655033677937255)	('chr21', 0.011032376377970056)	('chr22', 0.017714888245755747)	('chr3', 0.05686336923183217)	('chr4', 0.04053404785935896)	('chr5', 0.04500546144661741)	('chr6', 0.050328626469100086)	('chr7', 0.04949002136369385)	('chr8', 0.03432955215956158)	('chr9', 0.04413843920562394)	('chr16_KI270853v1_alt', 0.0009701501141996614)	('chr17_KI270857v1_alt', 0.0012067931298805636)	('chr15_KI270905v1_alt', 0.0009754885409489561)	('chrX', 0.04769084444378269)	('chrY', 0.0006069282792353084)
HG01882	('chr1', 0.10480281388137075)	('chr10', 0.05023082832348924)	('chr11', 0.05478415543287931)	('chr12', 0.05585673462093199)	('chr13', 0.024176838560118274)	('chr14', 0.030944347855338766)	('chr15', 0.03246922355362047)	('chr16', 0.03128481732463408)	('chr17', 0.045461994482533075)	('chr18', 0.018079910397440113)	('chr19', 0.036284605679848196)	('chr2', 0.07192365665141633)	('chr20', 0.024819031004292703)	('chr21', 0.011414996737926283)	('chr22', 0.01692863559712176)	('chr3', 0.05879609026783084)	('chr4', 0.044030339038686174)	('chr5', 0.047431120970891784)	('chr6', 0.052454538335815454)	('chr7', 0.051601133033882356)	('chr8', 0.03665774924213974)	('chr9', 0.045636391818712006)	('chr16_KI270853v1_alt', 0.0008740531605968597)	('chr17_KI270857v1_alt', 0.001321683153137715)	('chr15_KI270905v1_alt', 0.0010453338388642804)	('chrX', 0.02611811838757196)	('chrY', 0.004476782668617672)
HG01886	('chr1', 0.10713918592120052)	('chr10', 0.043766748065915996)	('chr11', 0.05030997303555896)	('chr12', 0.0494673920996197)	('chr13', 0.02091114633523834)	('chr14', 0.030333344248530007)	('chr15', 0.03398866885427515)	('chr16', 0.033230508861196835)	('chr17', 0.04434630986197002)	('chr18', 0.017187187792912673)	('chr19', 0.038249491052106434)	('chr2', 0.07765920990807745)	('chr20', 0.020451703447267093)	('chr21', 0.011093259850432906)	('chr22', 0.015241534459519977)	('chr3', 0.05748922104802173)	('chr4', 0.04596025154002393)	('chr5', 0.047612738116528726)	('chr6', 0.047517418574341365)	('chr7', 0.0488677904711036)	('chr8', 0.034346770291912)	('chr9', 0.04166557075358381)	('chr16_KI270853v1_alt', 0.0012252649976413218)	('chr17_KI270857v1_alt', 0.0016705581588332167)	('chr15_KI270905v1_alt', 0.0012797697100480517)	('chrX', 0.053198078425512364)	('chrY', 0.0007140032385915741)
HG01890	('chr1', 0.10935507151014519)	('chr10', 0.044409783041465756)	('chr11', 0.050332989839810126)	('chr12', 0.04736942095826467)	('chr13', 0.019684786419547587)	('chr14', 0.03020348027527061)	('chr15', 0.03412112341905879)	('chr16', 0.03628021308566042)	('chr17', 0.04981913995179385)	('chr18', 0.01573712235239879)	('chr19', 0.039044423818041525)	('chr2', 0.08825066812933498)	('chr20', 0.020879668670337633)	('chr21', 0.010392844747318969)	('chr22', 0.019957901114659997)	('chr3', 0.05957065508027911)	('chr4', 0.043387411906534064)	('chr5', 0.04946960439018296)	('chr6', 0.04283074362103788)	('chr7', 0.0507896369111999)	('chr8', 0.031597313019621674)	('chr9', 0.041016880013954635)	('chr16_KI270853v1_alt', 0.001803031615337221)	('chr17_KI270857v1_alt', 0.0010550127014566657)	('chr15_KI270905v1_alt', 0.001228208096363495)	('chrX', 0.03383526948634186)	('chrY', 0.004095162599916206)
HG01986	('chr1', 0.10488655862847421)	('chr10', 0.04804975287748641)	('chr11', 0.05555391061292947)	('chr12', 0.054811241890149326)	('chr13', 0.022172587650991796)	('chr14', 0.03076624730750959)	('chr15', 0.03232072666649981)	('chr16', 0.035410978212517624)	('chr17', 0.05126811552870079)	('chr18', 0.01702066165543187)	('chr19', 0.046057254650722176)	('chr2', 0.06885523309590864)	('chr20', 0.026388623253527674)	('chr21', 0.011475095933654367)	('chr22', 0.020055443563172626)	('chr3', 0.05703449621380049)	('chr4', 0.039644305726413726)	('chr5', 0.04517276823824466)	('chr6', 0.04975858141550797)	('chr7', 0.050737367070790185)	('chr8', 0.03507644491545842)	('chr9', 0.045019225328889835)	('chr16_KI270853v1_alt', 0.0009899962347206107)	('chr17_KI270857v1_alt', 0.0013905407172105004)	('chr15_KI270905v1_alt', 0.0010022789812820377)	('chrX', 0.02419062918729509)	('chrY', 0.004044840533667497)
HG02013	('chr1', 0.10458918281731748)	('chr10', 0.04920748303590131)	('chr11', 0.054625808303461025)	('chr12', 0.055241866720031285)	('chr13', 0.023748553825740558)	('chr14', 0.03084770197248994)	('chr15', 0.03230992577360189)	('chr16', 0.03256545785873242)	('chr17', 0.047701616680625405)	('chr18', 0.01794797752647361)	('chr19', 0.0399749632232949)	('chr2', 0.07128581710008393)	('chr20', 0.025491643335317903)	('chr21', 0.011453837375522016)	('chr22', 0.017862684950318092)	('chr3', 0.05862398676308015)	('chr4', 0.042911681163947835)	('chr5', 0.04715700477480854)	('chr6', 0.05163319780217602)	('chr7', 0.05081660525482581)	('chr8', 0.03596517521397737)	('chr9', 0.044894921630202395)	('chr16_KI270853v1_alt', 0.0009532233248865896)	('chr17_KI270857v1_alt', 0.0012255191118145518)	('chr15_KI270905v1_alt', 0.0009897801906619472)	('chrX', 0.02505216799953684)	('chrY', 0.004264069678850069)
HG02085	('chr1', 0.10928486696632361)	('chr10', 0.04414378424960208)	('chr11', 0.0504602188281492)	('chr12', 0.04726551038684119)	('chr13', 0.02009264978230986)	('chr14', 0.029428674317769604)	('chr15', 0.03330482207879014)	('chr16', 0.03564243584215291)	('chr17', 0.048836826226384564)	('chr18', 0.01603730004194937)	('chr19', 0.03919382373829971)	('chr2', 0.08910565034496991)	('chr20', 0.02112881628836177)	('chr21', 0.010566767135284316)	('chr22', 0.01932267508614995)	('chr3', 0.05957545806523196)	('chr4', 0.04402360585456039)	('chr5', 0.04960859050200225)	('chr6', 0.043341889963477126)	('chr7', 0.05112161485793464)	('chr8', 0.031150038260395363)	('chr9', 0.04155854149599569)	('chr16_KI270853v1_alt', 0.0017111308019081147)	('chr17_KI270857v1_alt', 0.0009586289088177542)	('chr15_KI270905v1_alt', 0.0012809321691630894)	('chrX', 0.034127345335392)	('chrY', 0.00455345477907601)
HG02372	('chr1', 0.1047461140632862)	('chr10', 0.04836333161321874)	('chr11', 0.05363028216122074)	('chr12', 0.05572306904171177)	('chr13', 0.022711284768092345)	('chr14', 0.03077042981831614)	('chr15', 0.03221812090302271)	('chr16', 0.031063761699492428)	('chr17', 0.04808904488692335)	('chr18', 0.016745810185978868)	('chr19', 0.03937512299395597)	('chr2', 0.06886601229320088)	('chr20', 0.024238882907064736)	('chr21', 0.01088908411053028)	('chr22', 0.01695659385424473)	('chr3', 0.056945502908780046)	('chr4', 0.040833753277557824)	('chr5', 0.044900657379584534)	('chr6', 0.05055838415642881)	('chr7', 0.04949884735034643)	('chr8', 0.034271338424910945)	('chr9', 0.044074157203875454)	('chr16_KI270853v1_alt', 0.0008675101662998338)	('chr17_KI270857v1_alt', 0.001271818731615735)	('chr15_KI270905v1_alt', 0.0009511916763741252)	('chrX', 0.047289033131366336)	('chrY', 0.004163666550551728)
HG02511	('chr1', 0.10763405802640369)	('chr10', 0.04292556899660974)	('chr11', 0.048485421163111095)	('chr12', 0.046523697023116296)	('chr13', 0.019175356669046024)	('chr14', 0.02911142808839475)	('chr15', 0.03295955624410249)	('chr16', 0.034313367960029456)	('chr17', 0.048199978230850316)	('chr18', 0.015308590200158312)	('chr19', 0.03662675272454879)	('chr2', 0.08738284724040185)	('chr20', 0.019858039070405627)	('chr21', 0.00982404148681792)	('chr22', 0.018744141455527892)	('chr3', 0.05831799826383613)	('chr4', 0.043067006786429884)	('chr5', 0.04834471690261109)	('chr6', 0.0418679364148111)	('chr7', 0.04938241082379861)	('chr8', 0.029944484000383503)	('chr9', 0.0398044850950093)	('chr16_KI270853v1_alt', 0.0017489339526699209)	('chr17_KI270857v1_alt', 0.0010397611401806372)	('chr15_KI270905v1_alt', 0.0012486502852120372)	('chrX', 0.06480093039525277)	('chrY', 0.0009768276587366201)
HG02651	('chr1', 0.1024451446887805)	('chr10', 0.04436580900158646)	('chr11', 0.05019301131829062)	('chr12', 0.052486696262374975)	('chr13', 0.021189809558617434)	('chr14', 0.03176484407265515)	('chr15', 0.03567316297161714)	('chr16', 0.0352938897340343)	('chr17', 0.04684912335202475)	('chr18', 0.01734669109451927)	('chr19', 0.04344583375063295)	('chr2', 0.08502735338553474)	('chr20', 0.021028597155954145)	('chr21', 0.010659896053485475)	('chr22', 0.01740501086402246)	('chr3', 0.05910091975743534)	('chr4', 0.044419238738474864)	('chr5', 0.04672162188216605)	('chr6', 0.046484650036161)	('chr7', 0.052857098201851346)	('chr8', 0.034418746994487145)	('chr9', 0.04197191445108641)	('chr16_KI270853v1_alt', 0.0015378503454130073)	('chr17_KI270857v1_alt', 0.0013294541767232687)	('chr15_KI270905v1_alt', 0.001398780125828473)	('chrX', 0.026000346687445025)	('chrY', 0.006040127896134438)
